region,date,total_store_tickets,avg_mttr_minutes,critical_p1_mttr_minutes,target_mttr_minutes,sla_met_pct
Southwest,2026-07-25,34,22.2,16.9,30.0,93.3
Northeast,2026-07-24,51,22.5,18.0,30.0,95.5
Southeast,2026-07-24,45,24.0,19.5,30.0,93.2
Midwest,2026-07-24,41,21.0,16.5,30.0,97.0
West Coast,2026-07-24,58,26.5,22.0,30.0,90.7
Southwest,2026-07-24,37,23.0,17.5,30.0,93.8
Northeast,2026-07-23,54,23.3,18.6,30.0,96.0
Southeast,2026-07-23,48,24.8,20.1,30.0,93.8
Midwest,2026-07-23,44,21.8,17.1,30.0,97.5
West Coast,2026-07-23,61,27.3,22.6,30.0,91.2
Southwest,2026-07-23,40,23.8,18.1,30.0,94.3
Northeast,2026-07-22,42,21.7,17.4,30.0,96.5
Southeast,2026-07-22,36,23.2,18.9,30.0,94.2
Midwest,2026-07-22,32,20.2,15.9,30.0,98.0
West Coast,2026-07-22,49,25.7,21.4,30.0,91.7
Southwest,2026-07-22,28,22.2,16.9,30.0,94.8
Northeast,2026-07-21,45,22.5,18.0,30.0,95.0
Southeast,2026-07-21,39,24.0,19.5,30.0,92.8
Midwest,2026-07-21,35,21.0,16.5,30.0,96.5
West Coast,2026-07-21,52,26.5,22.0,30.0,90.2
Southwest,2026-07-21,31,23.0,17.5,30.0,93.3
Northeast,2026-07-20,48,23.3,18.6,30.0,95.5
Southeast,2026-07-20,42,24.8,20.1,30.0,93.2
Midwest,2026-07-20,38,21.8,17.1,30.0,97.0
West Coast,2026-07-20,55,27.3,22.6,30.0,90.7
Southwest,2026-07-20,34,23.8,18.1,30.0,93.8
Northeast,2026-07-19,51,21.7,17.4,30.0,96.0
Southeast,2026-07-19,45,23.2,18.9,30.0,93.8
Midwest,2026-07-19,41,20.2,15.9,30.0,97.5
West Coast,2026-07-19,58,25.7,21.4,30.0,91.2
Southwest,2026-07-19,37,22.2,16.9,30.0,94.3
Northeast,2026-07-18,54,22.5,18.0,30.0,96.5
Southeast,2026-07-18,48,24.0,19.5,30.0,94.2
Midwest,2026-07-18,44,21.0,16.5,30.0,98.0
West Coast,2026-07-18,61,26.5,22.0,30.0,91.7
Southwest,2026-07-18,40,23.0,17.5,30.0,94.8
Northeast,2026-07-17,42,23.3,18.6,30.0,95.0
Southeast,2026-07-17,36,24.8,20.1,30.0,92.8
Midwest,2026-07-17,32,21.8,17.1,30.0,96.5
West Coast,2026-07-17,49,27.3,22.6,30.0,90.2
Southwest,2026-07-17,28,23.8,18.1,30.0,93.3
Northeast,2026-07-16,45,21.7,17.4,30.0,95.5
Southeast,2026-07-16,39,23.2,18.9,30.0,93.2
Midwest,2026-07-16,35,20.2,15.9,30.0,97.0
West Coast,2026-07-16,52,25.7,21.4,30.0,90.7
Southwest,2026-07-16,31,22.2,16.9,30.0,93.8
Northeast,2026-07-15,48,22.5,18.0,30.0,96.0
Southeast,2026-07-15,42,24.0,19.5,30.0,93.8
Midwest,2026-07-15,38,21.0,16.5,30.0,97.5
West Coast,2026-07-15,55,26.5,22.0,30.0,91.2
Southwest,2026-07-15,34,23.0,17.5,30.0,94.3
Northeast,2026-07-14,51,23.3,18.6,30.0,96.5
Southeast,2026-07-14,45,24.8,20.1,30.0,94.2
Midwest,2026-07-14,41,21.8,17.1,30.0,98.0
West Coast,2026-07-14,58,27.3,22.6,30.0,91.7
Southwest,2026-07-14,37,23.8,18.1,30.0,94.8
Northeast,2026-07-13,54,21.7,17.4,30.0,95.0
Southeast,2026-07-13,48,23.2,18.9,30.0,92.8
Midwest,2026-07-13,44,20.2,15.9,30.0,96.5
West Coast,2026-07-13,61,25.7,21.4,30.0,90.2
Southwest,2026-07-13,40,22.2,16.9,30.0,93.3
Northeast,2026-07-12,42,22.5,18.0,30.0,95.5
Southeast,2026-07-12,36,24.0,19.5,30.0,93.2
Midwest,2026-07-12,32,21.0,16.5,30.0,97.0
West Coast,2026-07-12,49,26.5,22.0,30.0,90.7
Southwest,2026-07-12,28,23.0,17.5,30.0,93.8
Northeast,2026-07-11,45,23.3,18.6,30.0,96.0
Southeast,2026-07-11,39,24.8,20.1,30.0,93.8
Midwest,2026-07-11,35,21.8,17.1,30.0,97.5
West Coast,2026-07-11,52,27.3,22.6,30.0,91.2
Southwest,2026-07-11,31,23.8,18.1,30.0,94.3
Northeast,2026-07-10,48,21.7,17.4,30.0,96.5
Southeast,2026-07-10,42,23.2,18.9,30.0,94.2
Midwest,2026-07-10,38,20.2,15.9,30.0,98.0
West Coast,2026-07-10,55,25.7,21.4,30.0,91.7
Southwest,2026-07-10,34,22.2,16.9,30.0,94.8
Northeast,2026-07-09,51,22.5,18.0,30.0,95.0
Southeast,2026-07-09,45,24.0,19.5,30.0,92.8
Midwest,2026-07-09,41,21.0,16.5,30.0,96.5
West Coast,2026-07-09,58,26.5,22.0,30.0,90.2
Southwest,2026-07-09,37,23.0,17.5,30.0,93.3
Northeast,2026-07-08,54,23.3,18.6,30.0,95.5
Southeast,2026-07-08,48,24.8,20.1,30.0,93.2
Midwest,2026-07-08,44,21.8,17.1,30.0,97.0
West Coast,2026-07-08,61,27.3,22.6,30.0,90.7
Southwest,2026-07-08,40,23.8,18.1,30.0,93.8
