date,category,total_appeals_reviewed,approved_appeals_count,total_concession_dollars,budget_limit_dollars,budget_variance_pct
2026-07-28,Footwear,28,21,2060.0,2000.0,3.0
2026-07-28,Consumer Electronics,23,17,2730.0,2500.0,9.2
2026-07-28,Home & Accessories,18,13,1000.0,1000.0,0.0
2026-07-27,Apparel & Outerwear,45,34,2770.0,3000.0,-7.7
2026-07-27,Footwear,30,22,1900.0,2000.0,-5.0
2026-07-27,Consumer Electronics,25,19,2570.0,2500.0,2.8
2026-07-27,Home & Accessories,20,15,840.0,1000.0,-16.0
2026-07-26,Apparel & Outerwear,47,35,2810.0,3000.0,-6.3
2026-07-26,Footwear,32,24,1940.0,2000.0,-3.0
2026-07-26,Consumer Electronics,27,20,2610.0,2500.0,4.4
2026-07-26,Home & Accessories,22,16,880.0,1000.0,-12.0
2026-07-25,Apparel & Outerwear,41,31,2850.0,3000.0,-5.0
2026-07-25,Footwear,26,19,1980.0,2000.0,-1.0
2026-07-25,Consumer Electronics,21,15,2650.0,2500.0,6.0
2026-07-25,Home & Accessories,16,12,920.0,1000.0,-8.0
2026-07-24,Apparel & Outerwear,43,32,2890.0,3000.0,-3.7
2026-07-24,Footwear,28,21,2020.0,2000.0,1.0
2026-07-24,Consumer Electronics,23,17,2690.0,2500.0,7.6
2026-07-24,Home & Accessories,18,13,960.0,1000.0,-4.0
2026-07-23,Apparel & Outerwear,45,34,2930.0,3000.0,-2.3
2026-07-23,Footwear,30,22,2060.0,2000.0,3.0
2026-07-23,Consumer Electronics,25,19,2730.0,2500.0,9.2
2026-07-23,Home & Accessories,20,15,1000.0,1000.0,0.0
2026-07-22,Apparel & Outerwear,47,35,2770.0,3000.0,-7.7
2026-07-22,Footwear,32,24,1900.0,2000.0,-5.0
2026-07-22,Consumer Electronics,27,20,2570.0,2500.0,2.8
2026-07-22,Home & Accessories,22,16,840.0,1000.0,-16.0
2026-07-21,Apparel & Outerwear,41,31,2810.0,3000.0,-6.3
2026-07-21,Footwear,26,19,1940.0,2000.0,-3.0
2026-07-21,Consumer Electronics,21,15,2610.0,2500.0,4.4
2026-07-21,Home & Accessories,16,12,880.0,1000.0,-12.0
2026-07-20,Apparel & Outerwear,43,32,2850.0,3000.0,-5.0
2026-07-20,Footwear,28,21,1980.0,2000.0,-1.0
2026-07-20,Consumer Electronics,23,17,2650.0,2500.0,6.0
2026-07-20,Home & Accessories,18,13,920.0,1000.0,-8.0
2026-07-19,Apparel & Outerwear,45,34,2890.0,3000.0,-3.7
2026-07-19,Footwear,30,22,2020.0,2000.0,1.0
2026-07-19,Consumer Electronics,25,19,2690.0,2500.0,7.6
2026-07-19,Home & Accessories,20,15,960.0,1000.0,-4.0
2026-07-18,Apparel & Outerwear,47,35,2930.0,3000.0,-2.3
2026-07-18,Footwear,32,24,2060.0,2000.0,3.0
2026-07-18,Consumer Electronics,27,20,2730.0,2500.0,9.2
2026-07-18,Home & Accessories,22,16,1000.0,1000.0,0.0
2026-07-17,Apparel & Outerwear,41,31,2770.0,3000.0,-7.7
2026-07-17,Footwear,26,19,1900.0,2000.0,-5.0
2026-07-17,Consumer Electronics,21,15,2570.0,2500.0,2.8
2026-07-17,Home & Accessories,16,12,840.0,1000.0,-16.0
2026-07-16,Apparel & Outerwear,43,32,2810.0,3000.0,-6.3
2026-07-16,Footwear,28,21,1940.0,2000.0,-3.0
2026-07-16,Consumer Electronics,23,17,2610.0,2500.0,4.4
2026-07-16,Home & Accessories,18,13,880.0,1000.0,-12.0
2026-07-15,Apparel & Outerwear,45,34,2850.0,3000.0,-5.0
2026-07-15,Footwear,30,22,1980.0,2000.0,-1.0
2026-07-15,Consumer Electronics,25,19,2650.0,2500.0,6.0
2026-07-15,Home & Accessories,20,15,920.0,1000.0,-8.0
2026-07-14,Apparel & Outerwear,47,35,2890.0,3000.0,-3.7
2026-07-14,Footwear,32,24,2020.0,2000.0,1.0
2026-07-14,Consumer Electronics,27,20,2690.0,2500.0,7.6
2026-07-14,Home & Accessories,22,16,960.0,1000.0,-4.0
2026-07-13,Apparel & Outerwear,41,31,2930.0,3000.0,-2.3
2026-07-13,Footwear,26,19,2060.0,2000.0,3.0
2026-07-13,Consumer Electronics,21,15,2730.0,2500.0,9.2
2026-07-13,Home & Accessories,16,12,1000.0,1000.0,0.0
2026-07-12,Apparel & Outerwear,43,32,2770.0,3000.0,-7.7
2026-07-12,Footwear,28,21,1900.0,2000.0,-5.0
2026-07-12,Consumer Electronics,23,17,2570.0,2500.0,2.8
2026-07-12,Home & Accessories,18,13,840.0,1000.0,-16.0
2026-07-11,Apparel & Outerwear,45,34,2810.0,3000.0,-6.3
2026-07-11,Footwear,30,22,1940.0,2000.0,-3.0
2026-07-11,Consumer Electronics,25,19,2610.0,2500.0,4.4
2026-07-11,Home & Accessories,20,15,880.0,1000.0,-12.0
2026-07-10,Apparel & Outerwear,47,35,2850.0,3000.0,-5.0
2026-07-10,Footwear,32,24,1980.0,2000.0,-1.0
2026-07-10,Consumer Electronics,27,20,2650.0,2500.0,6.0
2026-07-10,Home & Accessories,22,16,920.0,1000.0,-8.0
2026-07-09,Apparel & Outerwear,41,31,2890.0,3000.0,-3.7
2026-07-09,Footwear,26,19,2020.0,2000.0,1.0
2026-07-09,Consumer Electronics,21,15,2690.0,2500.0,7.6
2026-07-09,Home & Accessories,16,12,960.0,1000.0,-4.0
2026-07-08,Apparel & Outerwear,43,32,2930.0,3000.0,-2.3
2026-07-08,Footwear,28,21,2060.0,2000.0,3.0
2026-07-08,Consumer Electronics,23,17,2730.0,2500.0,9.2
2026-07-08,Home & Accessories,18,13,1000.0,1000.0,0.0
