queue_id,date,resolved_first_contact_count,total_contacts_count,repeat_contacts_72h_count,fcr_rate_pct
Q-104,2026-07-16,522,615,93,84.9
Q-105,2026-07-16,177,195,18,90.8
Q-106,2026-07-16,112,115,3,97.4
Q-101,2026-07-15,316,400,84,79.0
Q-102,2026-07-15,241,280,39,86.1
Q-103,2026-07-15,266,360,94,73.9
Q-104,2026-07-15,526,620,94,84.8
Q-105,2026-07-15,181,200,19,90.5
Q-106,2026-07-15,116,120,4,96.7
Q-101,2026-07-14,320,405,85,79.0
Q-102,2026-07-14,245,285,40,86.0
Q-103,2026-07-14,270,365,95,74.0
Q-104,2026-07-14,530,625,95,84.8
Q-105,2026-07-14,185,205,20,90.2
Q-106,2026-07-14,120,125,5,96.0
Q-101,2026-07-13,300,410,110,73.2
Q-102,2026-07-13,225,290,65,77.6
Q-103,2026-07-13,250,370,120,67.6
Q-104,2026-07-13,510,630,120,81.0
Q-105,2026-07-13,165,210,45,78.6
Q-106,2026-07-13,100,130,30,76.9
Q-101,2026-07-12,304,390,86,77.9
Q-102,2026-07-12,229,270,41,84.8
Q-103,2026-07-12,254,350,96,72.6
Q-104,2026-07-12,514,610,96,84.3
Q-105,2026-07-12,169,190,21,88.9
Q-106,2026-07-12,104,110,6,94.5
Q-101,2026-07-11,308,395,87,78.0
Q-102,2026-07-11,233,275,42,84.7
Q-103,2026-07-11,258,355,97,72.7
Q-104,2026-07-11,518,615,97,84.2
Q-105,2026-07-11,173,195,22,88.7
Q-106,2026-07-11,108,115,7,93.9
Q-101,2026-07-10,312,400,88,78.0
Q-102,2026-07-10,237,280,43,84.6
Q-103,2026-07-10,262,360,98,72.8
Q-104,2026-07-10,522,620,98,84.2
Q-105,2026-07-10,177,200,23,88.5
Q-106,2026-07-10,112,120,8,93.3
Q-101,2026-07-09,316,405,89,78.0
Q-102,2026-07-09,241,285,44,84.6
Q-103,2026-07-09,266,365,99,72.9
Q-104,2026-07-09,526,625,99,84.2
Q-105,2026-07-09,181,205,24,88.3
Q-106,2026-07-09,116,125,9,92.8
Q-101,2026-07-08,320,410,90,78.0
Q-102,2026-07-08,245,290,45,84.5
Q-103,2026-07-08,270,370,100,73.0
Q-104,2026-07-08,530,630,100,84.1
Q-105,2026-07-08,185,210,25,88.1
Q-106,2026-07-08,120,130,10,92.3
