date,channel,total_tracking_requests,self_service_deflected_count,bot_resolved_count,escalated_to_agent_count,deflection_rate_pct
2026-07-27,Mobile App Tracker,384,344,0,40,89.6
2026-07-27,AI Chatbot,224,0,164,60,73.2
2026-07-27,SMS Notification,314,284,0,30,90.4
2026-07-26,Web Tracking Portal,462,400,0,62,86.6
2026-07-26,Mobile App Tracker,392,350,0,42,89.3
2026-07-26,AI Chatbot,232,0,170,62,73.3
2026-07-26,SMS Notification,322,290,0,32,90.1
2026-07-25,Web Tracking Portal,438,380,0,58,86.8
2026-07-25,Mobile App Tracker,368,330,0,38,89.7
2026-07-25,AI Chatbot,208,0,150,58,72.1
2026-07-25,SMS Notification,298,270,0,28,90.6
2026-07-24,Web Tracking Portal,446,386,0,60,86.5
2026-07-24,Mobile App Tracker,376,336,0,40,89.4
2026-07-24,AI Chatbot,216,0,156,60,72.2
2026-07-24,SMS Notification,306,276,0,30,90.2
2026-07-23,Web Tracking Portal,454,392,0,62,86.3
2026-07-23,Mobile App Tracker,384,342,0,42,89.1
2026-07-23,AI Chatbot,224,0,162,62,72.3
2026-07-23,SMS Notification,314,282,0,32,89.8
2026-07-22,Web Tracking Portal,462,404,0,58,87.4
2026-07-22,Mobile App Tracker,392,354,0,38,90.3
2026-07-22,AI Chatbot,232,0,174,58,75.0
2026-07-22,SMS Notification,322,294,0,28,91.3
2026-07-21,Web Tracking Portal,438,378,0,60,86.3
2026-07-21,Mobile App Tracker,368,328,0,40,89.1
2026-07-21,AI Chatbot,208,0,148,60,71.2
2026-07-21,SMS Notification,298,268,0,30,89.9
2026-07-20,Web Tracking Portal,446,384,0,62,86.1
2026-07-20,Mobile App Tracker,376,334,0,42,88.8
2026-07-20,AI Chatbot,216,0,154,62,71.3
2026-07-20,SMS Notification,306,274,0,32,89.5
2026-07-19,Web Tracking Portal,454,396,0,58,87.2
2026-07-19,Mobile App Tracker,384,346,0,38,90.1
2026-07-19,AI Chatbot,224,0,166,58,74.1
2026-07-19,SMS Notification,314,286,0,28,91.1
2026-07-18,Web Tracking Portal,462,402,0,60,87.0
2026-07-18,Mobile App Tracker,392,352,0,40,89.8
2026-07-18,AI Chatbot,232,0,172,60,74.1
2026-07-18,SMS Notification,322,292,0,30,90.7
2026-07-17,Web Tracking Portal,438,376,0,62,85.8
2026-07-17,Mobile App Tracker,368,326,0,42,88.6
2026-07-17,AI Chatbot,208,0,146,62,70.2
2026-07-17,SMS Notification,298,266,0,32,89.3
2026-07-16,Web Tracking Portal,446,388,0,58,87.0
2026-07-16,Mobile App Tracker,376,338,0,38,89.9
2026-07-16,AI Chatbot,216,0,158,58,73.1
2026-07-16,SMS Notification,306,278,0,28,90.8
2026-07-15,Web Tracking Portal,454,394,0,60,86.8
2026-07-15,Mobile App Tracker,384,344,0,40,89.6
2026-07-15,AI Chatbot,224,0,164,60,73.2
2026-07-15,SMS Notification,314,284,0,30,90.4
2026-07-14,Web Tracking Portal,462,400,0,62,86.6
2026-07-14,Mobile App Tracker,392,350,0,42,89.3
2026-07-14,AI Chatbot,232,0,170,62,73.3
2026-07-14,SMS Notification,322,290,0,32,90.1
2026-07-13,Web Tracking Portal,438,380,0,58,86.8
2026-07-13,Mobile App Tracker,368,330,0,38,89.7
2026-07-13,AI Chatbot,208,0,150,58,72.1
2026-07-13,SMS Notification,298,270,0,28,90.6
2026-07-12,Web Tracking Portal,446,386,0,60,86.5
2026-07-12,Mobile App Tracker,376,336,0,40,89.4
2026-07-12,AI Chatbot,216,0,156,60,72.2
2026-07-12,SMS Notification,306,276,0,30,90.2
2026-07-11,Web Tracking Portal,454,392,0,62,86.3
2026-07-11,Mobile App Tracker,384,342,0,42,89.1
2026-07-11,AI Chatbot,224,0,162,62,72.3
2026-07-11,SMS Notification,314,282,0,32,89.8
2026-07-10,Web Tracking Portal,462,404,0,58,87.4
2026-07-10,Mobile App Tracker,392,354,0,38,90.3
2026-07-10,AI Chatbot,232,0,174,58,75.0
2026-07-10,SMS Notification,322,294,0,28,91.3
2026-07-09,Web Tracking Portal,438,378,0,60,86.3
2026-07-09,Mobile App Tracker,368,328,0,40,89.1
2026-07-09,AI Chatbot,208,0,148,60,71.2
2026-07-09,SMS Notification,298,268,0,30,89.9
2026-07-08,Web Tracking Portal,446,384,0,62,86.1
2026-07-08,Mobile App Tracker,376,334,0,42,88.8
2026-07-08,AI Chatbot,216,0,154,62,71.3
2026-07-08,SMS Notification,306,274,0,32,89.5
