store_id,date,exception_type,event_count,flagged_employee_count,investigation_status
STORE-004,2026-07-16,No Sale Cash Drawer Open,10,2,Escalated
STORE-004,2026-07-16,Manual Price Override,10,1,Open
STORE-004,2026-07-16,High Value Refund,15,3,Escalated
STORE-004,2026-07-16,Unscanned Item,12,4,Escalated
STORE-001,2026-07-17,No Sale Cash Drawer Open,18,1,Resolved
STORE-001,2026-07-17,Manual Price Override,8,3,Open
STORE-001,2026-07-17,High Value Refund,15,1,Escalated
STORE-001,2026-07-17,Unscanned Item,8,3,Resolved
STORE-002,2026-07-17,No Sale Cash Drawer Open,4,3,Escalated
STORE-002,2026-07-17,Manual Price Override,12,1,Escalated
STORE-002,2026-07-17,High Value Refund,11,5,Resolved
STORE-002,2026-07-17,Unscanned Item,15,3,Resolved
STORE-003,2026-07-17,No Sale Cash Drawer Open,11,5,Open
STORE-003,2026-07-17,Manual Price Override,8,4,Escalated
STORE-003,2026-07-17,High Value Refund,14,2,Escalated
STORE-003,2026-07-17,Unscanned Item,11,4,Escalated
STORE-004,2026-07-17,No Sale Cash Drawer Open,2,2,Resolved
STORE-004,2026-07-17,Manual Price Override,8,4,Escalated
STORE-004,2026-07-17,High Value Refund,12,4,Resolved
STORE-004,2026-07-17,Unscanned Item,16,2,Escalated
STORE-001,2026-07-18,No Sale Cash Drawer Open,17,2,Escalated
STORE-001,2026-07-18,Manual Price Override,4,3,Escalated
STORE-001,2026-07-18,High Value Refund,12,1,Open
STORE-001,2026-07-18,Unscanned Item,11,2,Open
STORE-002,2026-07-18,No Sale Cash Drawer Open,6,1,Open
STORE-002,2026-07-18,Manual Price Override,9,4,Escalated
STORE-002,2026-07-18,High Value Refund,4,4,Resolved
STORE-002,2026-07-18,Unscanned Item,8,4,Resolved
STORE-003,2026-07-18,No Sale Cash Drawer Open,14,2,Open
STORE-003,2026-07-18,Manual Price Override,2,1,Resolved
STORE-003,2026-07-18,High Value Refund,9,2,Escalated
STORE-003,2026-07-18,Unscanned Item,18,4,Open
STORE-004,2026-07-18,No Sale Cash Drawer Open,9,1,Resolved
STORE-004,2026-07-18,Manual Price Override,6,4,Escalated
STORE-004,2026-07-18,High Value Refund,18,5,Escalated
STORE-004,2026-07-18,Unscanned Item,12,4,Escalated
STORE-001,2026-07-19,No Sale Cash Drawer Open,18,4,Escalated
STORE-001,2026-07-19,Manual Price Override,16,2,Escalated
STORE-001,2026-07-19,High Value Refund,17,4,Resolved
STORE-001,2026-07-19,Unscanned Item,9,3,Escalated
STORE-002,2026-07-19,No Sale Cash Drawer Open,17,2,Resolved
STORE-002,2026-07-19,Manual Price Override,16,1,Escalated
STORE-002,2026-07-19,High Value Refund,11,2,Resolved
STORE-002,2026-07-19,Unscanned Item,12,3,Escalated
STORE-003,2026-07-19,No Sale Cash Drawer Open,4,2,Open
STORE-003,2026-07-19,Manual Price Override,9,4,Escalated
STORE-003,2026-07-19,High Value Refund,6,2,Open
STORE-003,2026-07-19,Unscanned Item,15,4,Resolved
STORE-004,2026-07-19,No Sale Cash Drawer Open,16,4,Open
STORE-004,2026-07-19,Manual Price Override,8,4,Resolved
STORE-004,2026-07-19,High Value Refund,2,2,Resolved
STORE-004,2026-07-19,Unscanned Item,2,2,Resolved
STORE-001,2026-07-20,No Sale Cash Drawer Open,14,4,Escalated
STORE-001,2026-07-20,Manual Price Override,9,4,Open
STORE-001,2026-07-20,High Value Refund,10,4,Resolved
STORE-001,2026-07-20,Unscanned Item,2,2,Resolved
STORE-002,2026-07-20,No Sale Cash Drawer Open,14,2,Resolved
STORE-002,2026-07-20,Manual Price Override,6,5,Escalated
STORE-002,2026-07-20,High Value Refund,2,2,Escalated
STORE-002,2026-07-20,Unscanned Item,2,1,Escalated
STORE-003,2026-07-20,No Sale Cash Drawer Open,15,2,Resolved
STORE-003,2026-07-20,Manual Price Override,7,1,Resolved
STORE-003,2026-07-20,High Value Refund,14,3,Open
STORE-003,2026-07-20,Unscanned Item,16,3,Resolved
STORE-004,2026-07-20,No Sale Cash Drawer Open,14,3,Resolved
STORE-004,2026-07-20,Manual Price Override,10,1,Resolved
STORE-004,2026-07-20,High Value Refund,2,1,Resolved
STORE-004,2026-07-20,Unscanned Item,9,1,Escalated
STORE-001,2026-07-21,No Sale Cash Drawer Open,3,1,Open
STORE-001,2026-07-21,Manual Price Override,8,1,Escalated
STORE-001,2026-07-21,High Value Refund,6,2,Open
STORE-001,2026-07-21,Unscanned Item,17,1,Escalated
STORE-002,2026-07-21,No Sale Cash Drawer Open,8,4,Escalated
STORE-002,2026-07-21,Manual Price Override,10,3,Open
STORE-002,2026-07-21,High Value Refund,5,2,Resolved
STORE-002,2026-07-21,Unscanned Item,5,5,Open
STORE-003,2026-07-21,No Sale Cash Drawer Open,11,5,Escalated
STORE-003,2026-07-21,Manual Price Override,14,4,Escalated
STORE-003,2026-07-21,High Value Refund,8,1,Escalated
STORE-003,2026-07-21,Unscanned Item,9,1,Escalated
STORE-004,2026-07-21,No Sale Cash Drawer Open,11,5,Open
STORE-004,2026-07-21,Manual Price Override,3,2,Escalated
STORE-004,2026-07-21,High Value Refund,15,3,Open
STORE-004,2026-07-21,Unscanned Item,18,3,Open
STORE-001,2026-07-22,No Sale Cash Drawer Open,15,4,Open
STORE-001,2026-07-22,Manual Price Override,15,3,Escalated
STORE-001,2026-07-22,High Value Refund,16,2,Resolved
STORE-001,2026-07-22,Unscanned Item,7,5,Escalated
STORE-002,2026-07-22,No Sale Cash Drawer Open,10,5,Escalated
STORE-002,2026-07-22,Manual Price Override,17,4,Resolved
STORE-002,2026-07-22,High Value Refund,10,3,Open
STORE-002,2026-07-22,Unscanned Item,4,3,Resolved
STORE-003,2026-07-22,No Sale Cash Drawer Open,9,4,Escalated
STORE-003,2026-07-22,Manual Price Override,14,3,Open
STORE-003,2026-07-22,High Value Refund,17,3,Open
STORE-003,2026-07-22,Unscanned Item,17,2,Resolved
STORE-004,2026-07-22,No Sale Cash Drawer Open,10,3,Resolved
STORE-004,2026-07-22,Manual Price Override,10,5,Open
STORE-004,2026-07-22,High Value Refund,18,2,Open
STORE-004,2026-07-22,Unscanned Item,9,4,Resolved
STORE-001,2026-07-23,No Sale Cash Drawer Open,9,4,Escalated
STORE-001,2026-07-23,Manual Price Override,17,4,Open
STORE-001,2026-07-23,High Value Refund,4,3,Open
STORE-001,2026-07-23,Unscanned Item,14,2,Resolved
STORE-002,2026-07-23,No Sale Cash Drawer Open,13,4,Escalated
STORE-002,2026-07-23,Manual Price Override,18,3,Resolved
STORE-002,2026-07-23,High Value Refund,12,3,Escalated
STORE-002,2026-07-23,Unscanned Item,16,3,Resolved
STORE-003,2026-07-23,No Sale Cash Drawer Open,10,2,Open
STORE-003,2026-07-23,Manual Price Override,8,3,Open
STORE-003,2026-07-23,High Value Refund,7,2,Open
STORE-003,2026-07-23,Unscanned Item,17,3,Escalated
STORE-004,2026-07-23,No Sale Cash Drawer Open,18,5,Resolved
STORE-004,2026-07-23,Manual Price Override,5,2,Resolved
STORE-004,2026-07-23,High Value Refund,9,3,Open
STORE-004,2026-07-23,Unscanned Item,11,1,Escalated
STORE-001,2026-07-24,No Sale Cash Drawer Open,6,3,Open
STORE-001,2026-07-24,Manual Price Override,3,3,Resolved
STORE-001,2026-07-24,High Value Refund,6,4,Open
STORE-001,2026-07-24,Unscanned Item,2,2,Resolved
STORE-002,2026-07-24,No Sale Cash Drawer Open,17,4,Resolved
STORE-002,2026-07-24,Manual Price Override,7,1,Resolved
STORE-002,2026-07-24,High Value Refund,17,1,Open
STORE-002,2026-07-24,Unscanned Item,14,4,Open
STORE-003,2026-07-24,No Sale Cash Drawer Open,3,1,Open
STORE-003,2026-07-24,Manual Price Override,11,1,Open
STORE-003,2026-07-24,High Value Refund,5,5,Resolved
STORE-003,2026-07-24,Unscanned Item,9,5,Resolved
STORE-004,2026-07-24,No Sale Cash Drawer Open,16,4,Resolved
STORE-004,2026-07-24,Manual Price Override,15,3,Escalated
STORE-004,2026-07-24,High Value Refund,3,3,Escalated
STORE-004,2026-07-24,Unscanned Item,5,2,Escalated
