campaign_id,channel,date,ad_spend_amount,impressions,clicks
CMP-003,Social Media,2026-07-20,400.0,18000,620
CMP-003,Email,2026-07-20,80.0,5000,450
CMP-003,Connected TV,2026-07-20,600.0,25000,310
CMP-004,Paid Search,2026-07-20,350.0,12000,480
CMP-004,Social Media,2026-07-20,400.0,18000,620
CMP-004,Email,2026-07-20,80.0,5000,450
CMP-004,Connected TV,2026-07-20,600.0,25000,310
CMP-005,Paid Search,2026-07-20,350.0,12000,480
CMP-005,Social Media,2026-07-20,400.0,18000,620
CMP-005,Email,2026-07-20,80.0,5000,450
CMP-005,Connected TV,2026-07-20,600.0,25000,310
CMP-006,Paid Search,2026-07-20,350.0,12000,480
CMP-006,Social Media,2026-07-20,400.0,18000,620
CMP-006,Email,2026-07-20,80.0,5000,450
CMP-006,Connected TV,2026-07-20,600.0,25000,310
CMP-001,Paid Search,2026-07-19,350.0,12000,480
CMP-001,Social Media,2026-07-19,400.0,18000,620
CMP-001,Email,2026-07-19,80.0,5000,450
CMP-001,Connected TV,2026-07-19,600.0,25000,310
CMP-002,Paid Search,2026-07-19,350.0,12000,480
CMP-002,Social Media,2026-07-19,400.0,18000,620
CMP-002,Email,2026-07-19,80.0,5000,450
CMP-002,Connected TV,2026-07-19,600.0,25000,310
CMP-003,Paid Search,2026-07-19,350.0,12000,480
CMP-003,Social Media,2026-07-19,400.0,18000,620
CMP-003,Email,2026-07-19,80.0,5000,450
CMP-003,Connected TV,2026-07-19,600.0,25000,310
CMP-004,Paid Search,2026-07-19,350.0,12000,480
CMP-004,Social Media,2026-07-19,400.0,18000,620
CMP-004,Email,2026-07-19,80.0,5000,450
CMP-004,Connected TV,2026-07-19,600.0,25000,310
CMP-005,Paid Search,2026-07-19,350.0,12000,480
CMP-005,Social Media,2026-07-19,400.0,18000,620
CMP-005,Email,2026-07-19,80.0,5000,450
CMP-005,Connected TV,2026-07-19,600.0,25000,310
CMP-006,Paid Search,2026-07-19,350.0,12000,480
CMP-006,Social Media,2026-07-19,400.0,18000,620
CMP-006,Email,2026-07-19,80.0,5000,450
CMP-006,Connected TV,2026-07-19,600.0,25000,310
CMP-001,Paid Search,2026-07-18,350.0,12000,480
CMP-001,Social Media,2026-07-18,400.0,18000,620
CMP-001,Email,2026-07-18,80.0,5000,450
CMP-001,Connected TV,2026-07-18,600.0,25000,310
CMP-002,Paid Search,2026-07-18,350.0,12000,480
CMP-002,Social Media,2026-07-18,400.0,18000,620
CMP-002,Email,2026-07-18,80.0,5000,450
CMP-002,Connected TV,2026-07-18,600.0,25000,310
CMP-003,Paid Search,2026-07-18,350.0,12000,480
CMP-003,Social Media,2026-07-18,400.0,18000,620
CMP-003,Email,2026-07-18,80.0,5000,450
CMP-003,Connected TV,2026-07-18,600.0,25000,310
CMP-004,Paid Search,2026-07-18,350.0,12000,480
CMP-004,Social Media,2026-07-18,400.0,18000,620
CMP-004,Email,2026-07-18,80.0,5000,450
CMP-004,Connected TV,2026-07-18,600.0,25000,310
CMP-005,Paid Search,2026-07-18,350.0,12000,480
CMP-005,Social Media,2026-07-18,400.0,18000,620
CMP-005,Email,2026-07-18,80.0,5000,450
CMP-005,Connected TV,2026-07-18,600.0,25000,310
CMP-006,Paid Search,2026-07-18,350.0,12000,480
CMP-006,Social Media,2026-07-18,400.0,18000,620
CMP-006,Email,2026-07-18,80.0,5000,450
CMP-006,Connected TV,2026-07-18,600.0,25000,310
CMP-001,Paid Search,2026-07-17,350.0,12000,480
CMP-001,Social Media,2026-07-17,400.0,18000,620
CMP-001,Email,2026-07-17,80.0,5000,450
CMP-001,Connected TV,2026-07-17,600.0,25000,310
CMP-002,Paid Search,2026-07-17,350.0,12000,480
CMP-002,Social Media,2026-07-17,400.0,18000,620
CMP-002,Email,2026-07-17,80.0,5000,450
CMP-002,Connected TV,2026-07-17,600.0,25000,310
CMP-003,Paid Search,2026-07-17,350.0,12000,480
CMP-003,Social Media,2026-07-17,400.0,18000,620
CMP-003,Email,2026-07-17,80.0,5000,450
CMP-003,Connected TV,2026-07-17,600.0,25000,310
CMP-004,Paid Search,2026-07-17,350.0,12000,480
CMP-004,Social Media,2026-07-17,400.0,18000,620
CMP-004,Email,2026-07-17,80.0,5000,450
CMP-004,Connected TV,2026-07-17,600.0,25000,310
CMP-005,Paid Search,2026-07-17,350.0,12000,480
CMP-005,Social Media,2026-07-17,400.0,18000,620
CMP-005,Email,2026-07-17,80.0,5000,450
CMP-005,Connected TV,2026-07-17,600.0,25000,310
CMP-006,Paid Search,2026-07-17,350.0,12000,480
CMP-006,Social Media,2026-07-17,400.0,18000,620
CMP-006,Email,2026-07-17,80.0,5000,450
CMP-006,Connected TV,2026-07-17,600.0,25000,310
CMP-001,Paid Search,2026-07-16,350.0,12000,480
CMP-001,Social Media,2026-07-16,400.0,18000,620
CMP-001,Email,2026-07-16,80.0,5000,450
CMP-001,Connected TV,2026-07-16,600.0,25000,310
CMP-002,Paid Search,2026-07-16,350.0,12000,480
CMP-002,Social Media,2026-07-16,400.0,18000,620
CMP-002,Email,2026-07-16,80.0,5000,450
CMP-002,Connected TV,2026-07-16,600.0,25000,310
CMP-003,Paid Search,2026-07-16,350.0,12000,480
CMP-003,Social Media,2026-07-16,400.0,18000,620
CMP-003,Email,2026-07-16,80.0,5000,450
CMP-003,Connected TV,2026-07-16,600.0,25000,310
CMP-004,Paid Search,2026-07-16,350.0,12000,480
CMP-004,Social Media,2026-07-16,400.0,18000,620
CMP-004,Email,2026-07-16,80.0,5000,450
CMP-004,Connected TV,2026-07-16,600.0,25000,310
CMP-005,Paid Search,2026-07-16,350.0,12000,480
CMP-005,Social Media,2026-07-16,400.0,18000,620
CMP-005,Email,2026-07-16,80.0,5000,450
CMP-005,Connected TV,2026-07-16,600.0,25000,310
CMP-006,Paid Search,2026-07-16,350.0,12000,480
CMP-006,Social Media,2026-07-16,400.0,18000,620
CMP-006,Email,2026-07-16,80.0,5000,450
CMP-006,Connected TV,2026-07-16,600.0,25000,310
CMP-001,Paid Search,2026-07-15,350.0,12000,480
CMP-001,Social Media,2026-07-15,400.0,18000,620
CMP-001,Email,2026-07-15,80.0,5000,450
CMP-001,Connected TV,2026-07-15,600.0,25000,310
CMP-002,Paid Search,2026-07-15,350.0,12000,480
CMP-002,Social Media,2026-07-15,400.0,18000,620
CMP-002,Email,2026-07-15,80.0,5000,450
CMP-002,Connected TV,2026-07-15,600.0,25000,310
CMP-003,Paid Search,2026-07-15,350.0,12000,480
CMP-003,Social Media,2026-07-15,400.0,18000,620
CMP-003,Email,2026-07-15,80.0,5000,450
CMP-003,Connected TV,2026-07-15,600.0,25000,310
CMP-004,Paid Search,2026-07-15,350.0,12000,480
CMP-004,Social Media,2026-07-15,400.0,18000,620
CMP-004,Email,2026-07-15,80.0,5000,450
CMP-004,Connected TV,2026-07-15,600.0,25000,310
CMP-005,Paid Search,2026-07-15,350.0,12000,480
CMP-005,Social Media,2026-07-15,400.0,18000,620
CMP-005,Email,2026-07-15,80.0,5000,450
CMP-005,Connected TV,2026-07-15,600.0,25000,310
CMP-006,Paid Search,2026-07-15,350.0,12000,480
CMP-006,Social Media,2026-07-15,400.0,18000,620
CMP-006,Email,2026-07-15,80.0,5000,450
CMP-006,Connected TV,2026-07-15,600.0,25000,310
CMP-001,Paid Search,2026-07-14,350.0,12000,480
CMP-001,Social Media,2026-07-14,400.0,18000,620
CMP-001,Email,2026-07-14,80.0,5000,450
CMP-001,Connected TV,2026-07-14,600.0,25000,310
CMP-002,Paid Search,2026-07-14,350.0,12000,480
CMP-002,Social Media,2026-07-14,400.0,18000,620
CMP-002,Email,2026-07-14,80.0,5000,450
CMP-002,Connected TV,2026-07-14,600.0,25000,310
CMP-003,Paid Search,2026-07-14,350.0,12000,480
CMP-003,Social Media,2026-07-14,400.0,18000,620
CMP-003,Email,2026-07-14,80.0,5000,450
CMP-003,Connected TV,2026-07-14,600.0,25000,310
CMP-004,Paid Search,2026-07-14,350.0,12000,480
CMP-004,Social Media,2026-07-14,400.0,18000,620
CMP-004,Email,2026-07-14,80.0,5000,450
CMP-004,Connected TV,2026-07-14,600.0,25000,310
CMP-005,Paid Search,2026-07-14,350.0,12000,480
CMP-005,Social Media,2026-07-14,400.0,18000,620
CMP-005,Email,2026-07-14,80.0,5000,450
CMP-005,Connected TV,2026-07-14,600.0,25000,310
CMP-006,Paid Search,2026-07-14,350.0,12000,480
CMP-006,Social Media,2026-07-14,400.0,18000,620
CMP-006,Email,2026-07-14,80.0,5000,450
CMP-006,Connected TV,2026-07-14,600.0,25000,310
CMP-001,Paid Search,2026-07-13,350.0,12000,480
CMP-001,Social Media,2026-07-13,400.0,18000,620
CMP-001,Email,2026-07-13,80.0,5000,450
CMP-001,Connected TV,2026-07-13,600.0,25000,310
CMP-002,Paid Search,2026-07-13,350.0,12000,480
CMP-002,Social Media,2026-07-13,400.0,18000,620
CMP-002,Email,2026-07-13,80.0,5000,450
CMP-002,Connected TV,2026-07-13,600.0,25000,310
CMP-003,Paid Search,2026-07-13,350.0,12000,480
CMP-003,Social Media,2026-07-13,400.0,18000,620
CMP-003,Email,2026-07-13,80.0,5000,450
CMP-003,Connected TV,2026-07-13,600.0,25000,310
CMP-004,Paid Search,2026-07-13,350.0,12000,480
CMP-004,Social Media,2026-07-13,400.0,18000,620
CMP-004,Email,2026-07-13,80.0,5000,450
CMP-004,Connected TV,2026-07-13,600.0,25000,310
CMP-005,Paid Search,2026-07-13,350.0,12000,480
CMP-005,Social Media,2026-07-13,400.0,18000,620
CMP-005,Email,2026-07-13,80.0,5000,450
CMP-005,Connected TV,2026-07-13,600.0,25000,310
CMP-006,Paid Search,2026-07-13,350.0,12000,480
CMP-006,Social Media,2026-07-13,400.0,18000,620
CMP-006,Email,2026-07-13,80.0,5000,450
CMP-006,Connected TV,2026-07-13,600.0,25000,310
CMP-001,Paid Search,2026-07-12,350.0,12000,480
CMP-001,Social Media,2026-07-12,400.0,18000,620
CMP-001,Email,2026-07-12,80.0,5000,450
CMP-001,Connected TV,2026-07-12,600.0,25000,310
CMP-002,Paid Search,2026-07-12,350.0,12000,480
CMP-002,Social Media,2026-07-12,400.0,18000,620
CMP-002,Email,2026-07-12,80.0,5000,450
CMP-002,Connected TV,2026-07-12,600.0,25000,310
CMP-003,Paid Search,2026-07-12,350.0,12000,480
CMP-003,Social Media,2026-07-12,400.0,18000,620
CMP-003,Email,2026-07-12,80.0,5000,450
CMP-003,Connected TV,2026-07-12,600.0,25000,310
CMP-004,Paid Search,2026-07-12,350.0,12000,480
CMP-004,Social Media,2026-07-12,400.0,18000,620
CMP-004,Email,2026-07-12,80.0,5000,450
CMP-004,Connected TV,2026-07-12,600.0,25000,310
CMP-005,Paid Search,2026-07-12,350.0,12000,480
CMP-005,Social Media,2026-07-12,400.0,18000,620
CMP-005,Email,2026-07-12,80.0,5000,450
CMP-005,Connected TV,2026-07-12,600.0,25000,310
CMP-006,Paid Search,2026-07-12,350.0,12000,480
CMP-006,Social Media,2026-07-12,400.0,18000,620
CMP-006,Email,2026-07-12,80.0,5000,450
CMP-006,Connected TV,2026-07-12,600.0,25000,310
CMP-001,Paid Search,2026-07-11,350.0,12000,480
CMP-001,Social Media,2026-07-11,400.0,18000,620
CMP-001,Email,2026-07-11,80.0,5000,450
CMP-001,Connected TV,2026-07-11,600.0,25000,310
CMP-002,Paid Search,2026-07-11,350.0,12000,480
CMP-002,Social Media,2026-07-11,400.0,18000,620
CMP-002,Email,2026-07-11,80.0,5000,450
CMP-002,Connected TV,2026-07-11,600.0,25000,310
CMP-003,Paid Search,2026-07-11,350.0,12000,480
CMP-003,Social Media,2026-07-11,400.0,18000,620
CMP-003,Email,2026-07-11,80.0,5000,450
CMP-003,Connected TV,2026-07-11,600.0,25000,310
CMP-004,Paid Search,2026-07-11,350.0,12000,480
CMP-004,Social Media,2026-07-11,400.0,18000,620
CMP-004,Email,2026-07-11,80.0,5000,450
CMP-004,Connected TV,2026-07-11,600.0,25000,310
CMP-005,Paid Search,2026-07-11,350.0,12000,480
CMP-005,Social Media,2026-07-11,400.0,18000,620
CMP-005,Email,2026-07-11,80.0,5000,450
CMP-005,Connected TV,2026-07-11,600.0,25000,310
CMP-006,Paid Search,2026-07-11,350.0,12000,480
CMP-006,Social Media,2026-07-11,400.0,18000,620
CMP-006,Email,2026-07-11,80.0,5000,450
CMP-006,Connected TV,2026-07-11,600.0,25000,310
CMP-001,Paid Search,2026-07-10,350.0,12000,480
CMP-001,Social Media,2026-07-10,400.0,18000,620
CMP-001,Email,2026-07-10,80.0,5000,450
CMP-001,Connected TV,2026-07-10,600.0,25000,310
CMP-002,Paid Search,2026-07-10,350.0,12000,480
CMP-002,Social Media,2026-07-10,400.0,18000,620
CMP-002,Email,2026-07-10,80.0,5000,450
CMP-002,Connected TV,2026-07-10,600.0,25000,310
CMP-003,Paid Search,2026-07-10,350.0,12000,480
CMP-003,Social Media,2026-07-10,400.0,18000,620
CMP-003,Email,2026-07-10,80.0,5000,450
CMP-003,Connected TV,2026-07-10,600.0,25000,310
CMP-004,Paid Search,2026-07-10,350.0,12000,480
CMP-004,Social Media,2026-07-10,400.0,18000,620
CMP-004,Email,2026-07-10,80.0,5000,450
CMP-004,Connected TV,2026-07-10,600.0,25000,310
CMP-005,Paid Search,2026-07-10,350.0,12000,480
CMP-005,Social Media,2026-07-10,400.0,18000,620
CMP-005,Email,2026-07-10,80.0,5000,450
CMP-005,Connected TV,2026-07-10,600.0,25000,310
CMP-006,Paid Search,2026-07-10,350.0,12000,480
CMP-006,Social Media,2026-07-10,400.0,18000,620
CMP-006,Email,2026-07-10,80.0,5000,450
CMP-006,Connected TV,2026-07-10,600.0,25000,310
CMP-001,Paid Search,2026-07-09,350.0,12000,480
CMP-001,Social Media,2026-07-09,400.0,18000,620
CMP-001,Email,2026-07-09,80.0,5000,450
CMP-001,Connected TV,2026-07-09,600.0,25000,310
CMP-002,Paid Search,2026-07-09,350.0,12000,480
CMP-002,Social Media,2026-07-09,400.0,18000,620
CMP-002,Email,2026-07-09,80.0,5000,450
CMP-002,Connected TV,2026-07-09,600.0,25000,310
CMP-003,Paid Search,2026-07-09,350.0,12000,480
CMP-003,Social Media,2026-07-09,400.0,18000,620
CMP-003,Email,2026-07-09,80.0,5000,450
CMP-003,Connected TV,2026-07-09,600.0,25000,310
CMP-004,Paid Search,2026-07-09,350.0,12000,480
CMP-004,Social Media,2026-07-09,400.0,18000,620
CMP-004,Email,2026-07-09,80.0,5000,450
CMP-004,Connected TV,2026-07-09,600.0,25000,310
CMP-005,Paid Search,2026-07-09,350.0,12000,480
CMP-005,Social Media,2026-07-09,400.0,18000,620
CMP-005,Email,2026-07-09,80.0,5000,450
CMP-005,Connected TV,2026-07-09,600.0,25000,310
CMP-006,Paid Search,2026-07-09,350.0,12000,480
CMP-006,Social Media,2026-07-09,400.0,18000,620
CMP-006,Email,2026-07-09,80.0,5000,450
CMP-006,Connected TV,2026-07-09,600.0,25000,310
CMP-001,Paid Search,2026-07-08,350.0,12000,480
CMP-001,Social Media,2026-07-08,400.0,18000,620
CMP-001,Email,2026-07-08,80.0,5000,450
CMP-001,Connected TV,2026-07-08,600.0,25000,310
CMP-002,Paid Search,2026-07-08,350.0,12000,480
CMP-002,Social Media,2026-07-08,400.0,18000,620
CMP-002,Email,2026-07-08,80.0,5000,450
CMP-002,Connected TV,2026-07-08,600.0,25000,310
CMP-003,Paid Search,2026-07-08,350.0,12000,480
CMP-003,Social Media,2026-07-08,400.0,18000,620
CMP-003,Email,2026-07-08,80.0,5000,450
CMP-003,Connected TV,2026-07-08,600.0,25000,310
CMP-004,Paid Search,2026-07-08,350.0,12000,480
CMP-004,Social Media,2026-07-08,400.0,18000,620
CMP-004,Email,2026-07-08,80.0,5000,450
CMP-004,Connected TV,2026-07-08,600.0,25000,310
CMP-005,Paid Search,2026-07-08,350.0,12000,480
CMP-005,Social Media,2026-07-08,400.0,18000,620
CMP-005,Email,2026-07-08,80.0,5000,450
CMP-005,Connected TV,2026-07-08,600.0,25000,310
CMP-006,Paid Search,2026-07-08,350.0,12000,480
CMP-006,Social Media,2026-07-08,400.0,18000,620
CMP-006,Email,2026-07-08,80.0,5000,450
CMP-006,Connected TV,2026-07-08,600.0,25000,310
CMP-001,Paid Search,2026-07-07,350.0,12000,480
CMP-001,Social Media,2026-07-07,400.0,18000,620
CMP-001,Email,2026-07-07,80.0,5000,450
CMP-001,Connected TV,2026-07-07,600.0,25000,310
CMP-002,Paid Search,2026-07-07,350.0,12000,480
CMP-002,Social Media,2026-07-07,400.0,18000,620
CMP-002,Email,2026-07-07,80.0,5000,450
CMP-002,Connected TV,2026-07-07,600.0,25000,310
CMP-003,Paid Search,2026-07-07,350.0,12000,480
CMP-003,Social Media,2026-07-07,400.0,18000,620
CMP-003,Email,2026-07-07,80.0,5000,450
CMP-003,Connected TV,2026-07-07,600.0,25000,310
CMP-004,Paid Search,2026-07-07,350.0,12000,480
CMP-004,Social Media,2026-07-07,400.0,18000,620
CMP-004,Email,2026-07-07,80.0,5000,450
CMP-004,Connected TV,2026-07-07,600.0,25000,310
CMP-005,Paid Search,2026-07-07,350.0,12000,480
CMP-005,Social Media,2026-07-07,400.0,18000,620
CMP-005,Email,2026-07-07,80.0,5000,450
CMP-005,Connected TV,2026-07-07,600.0,25000,310
CMP-006,Paid Search,2026-07-07,350.0,12000,480
CMP-006,Social Media,2026-07-07,400.0,18000,620
CMP-006,Email,2026-07-07,80.0,5000,450
CMP-006,Connected TV,2026-07-07,600.0,25000,310
CMP-001,Paid Search,2026-07-06,350.0,12000,480
CMP-001,Social Media,2026-07-06,400.0,18000,620
CMP-001,Email,2026-07-06,80.0,5000,450
CMP-001,Connected TV,2026-07-06,600.0,25000,310
CMP-002,Paid Search,2026-07-06,350.0,12000,480
CMP-002,Social Media,2026-07-06,400.0,18000,620
CMP-002,Email,2026-07-06,80.0,5000,450
CMP-002,Connected TV,2026-07-06,600.0,25000,310
CMP-003,Paid Search,2026-07-06,350.0,12000,480
CMP-003,Social Media,2026-07-06,400.0,18000,620
CMP-003,Email,2026-07-06,80.0,5000,450
CMP-003,Connected TV,2026-07-06,600.0,25000,310
CMP-004,Paid Search,2026-07-06,350.0,12000,480
CMP-004,Social Media,2026-07-06,400.0,18000,620
CMP-004,Email,2026-07-06,80.0,5000,450
CMP-004,Connected TV,2026-07-06,600.0,25000,310
CMP-005,Paid Search,2026-07-06,350.0,12000,480
CMP-005,Social Media,2026-07-06,400.0,18000,620
CMP-005,Email,2026-07-06,80.0,5000,450
CMP-005,Connected TV,2026-07-06,600.0,25000,310
CMP-006,Paid Search,2026-07-06,350.0,12000,480
CMP-006,Social Media,2026-07-06,400.0,18000,620
CMP-006,Email,2026-07-06,80.0,5000,450
CMP-006,Connected TV,2026-07-06,600.0,25000,310
CMP-001,Paid Search,2026-07-05,350.0,12000,480
CMP-001,Social Media,2026-07-05,400.0,18000,620
CMP-001,Email,2026-07-05,80.0,5000,450
CMP-001,Connected TV,2026-07-05,600.0,25000,310
CMP-002,Paid Search,2026-07-05,350.0,12000,480
CMP-002,Social Media,2026-07-05,400.0,18000,620
CMP-002,Email,2026-07-05,80.0,5000,450
CMP-002,Connected TV,2026-07-05,600.0,25000,310
CMP-003,Paid Search,2026-07-05,350.0,12000,480
CMP-003,Social Media,2026-07-05,400.0,18000,620
CMP-003,Email,2026-07-05,80.0,5000,450
CMP-003,Connected TV,2026-07-05,600.0,25000,310
CMP-004,Paid Search,2026-07-05,350.0,12000,480
CMP-004,Social Media,2026-07-05,400.0,18000,620
CMP-004,Email,2026-07-05,80.0,5000,450
CMP-004,Connected TV,2026-07-05,600.0,25000,310
CMP-005,Paid Search,2026-07-05,350.0,12000,480
CMP-005,Social Media,2026-07-05,400.0,18000,620
CMP-005,Email,2026-07-05,80.0,5000,450
CMP-005,Connected TV,2026-07-05,600.0,25000,310
CMP-006,Paid Search,2026-07-05,350.0,12000,480
CMP-006,Social Media,2026-07-05,400.0,18000,620
CMP-006,Email,2026-07-05,80.0,5000,450
CMP-006,Connected TV,2026-07-05,600.0,25000,310
CMP-001,Paid Search,2026-07-04,350.0,12000,480
CMP-001,Social Media,2026-07-04,400.0,18000,620
CMP-001,Email,2026-07-04,80.0,5000,450
CMP-001,Connected TV,2026-07-04,600.0,25000,310
CMP-002,Paid Search,2026-07-04,350.0,12000,480
CMP-002,Social Media,2026-07-04,400.0,18000,620
CMP-002,Email,2026-07-04,80.0,5000,450
CMP-002,Connected TV,2026-07-04,600.0,25000,310
CMP-003,Paid Search,2026-07-04,350.0,12000,480
CMP-003,Social Media,2026-07-04,400.0,18000,620
CMP-003,Email,2026-07-04,80.0,5000,450
CMP-003,Connected TV,2026-07-04,600.0,25000,310
CMP-004,Paid Search,2026-07-04,350.0,12000,480
CMP-004,Social Media,2026-07-04,400.0,18000,620
CMP-004,Email,2026-07-04,80.0,5000,450
CMP-004,Connected TV,2026-07-04,600.0,25000,310
CMP-005,Paid Search,2026-07-04,350.0,12000,480
CMP-005,Social Media,2026-07-04,400.0,18000,620
CMP-005,Email,2026-07-04,80.0,5000,450
CMP-005,Connected TV,2026-07-04,600.0,25000,310
CMP-006,Paid Search,2026-07-04,350.0,12000,480
CMP-006,Social Media,2026-07-04,400.0,18000,620
CMP-006,Email,2026-07-04,80.0,5000,450
CMP-006,Connected TV,2026-07-04,600.0,25000,310
CMP-001,Paid Search,2026-07-03,350.0,12000,480
CMP-001,Social Media,2026-07-03,400.0,18000,620
CMP-001,Email,2026-07-03,80.0,5000,450
CMP-001,Connected TV,2026-07-03,600.0,25000,310
CMP-002,Paid Search,2026-07-03,350.0,12000,480
CMP-002,Social Media,2026-07-03,400.0,18000,620
CMP-002,Email,2026-07-03,80.0,5000,450
CMP-002,Connected TV,2026-07-03,600.0,25000,310
CMP-003,Paid Search,2026-07-03,350.0,12000,480
CMP-003,Social Media,2026-07-03,400.0,18000,620
CMP-003,Email,2026-07-03,80.0,5000,450
CMP-003,Connected TV,2026-07-03,600.0,25000,310
