channel,date,positive_pct,neutral_pct,negative_pct,avg_nps_score,total_responses
Web Live Chat,2026-07-30,75.2,12.8,12.0,62.0,450
Mobile App Feedback,2026-07-30,79.2,10.8,10.0,68.0,260
Social Media Mentions,2026-07-30,55.2,20.8,24.0,35.0,180
Post-Purchase Email Survey,2026-07-30,71.2,14.8,14.0,56.0,620
Voice,2026-07-29,60.8,19.8,19.4,49.2,300
Web Live Chat,2026-07-29,72.8,15.8,11.4,63.2,460
Mobile App Feedback,2026-07-29,76.8,13.8,9.4,69.2,270
Social Media Mentions,2026-07-29,52.8,23.8,23.4,36.2,190
Post-Purchase Email Survey,2026-07-29,68.8,17.8,13.4,57.2,630
Voice,2026-07-28,61.6,17.8,20.6,50.4,310
Web Live Chat,2026-07-28,73.6,13.8,12.6,64.4,470
Mobile App Feedback,2026-07-28,77.6,11.8,10.6,70.4,280
Social Media Mentions,2026-07-28,53.6,21.8,24.6,37.4,200
Post-Purchase Email Survey,2026-07-28,69.6,15.8,14.6,58.4,640
Voice,2026-07-27,62.4,17.6,20.0,45.6,320
Web Live Chat,2026-07-27,74.4,13.6,12.0,59.6,480
Mobile App Feedback,2026-07-27,78.4,11.6,10.0,65.6,290
Social Media Mentions,2026-07-27,54.4,21.6,24.0,32.6,210
Post-Purchase Email Survey,2026-07-27,70.4,15.6,14.0,53.6,650
Voice,2026-07-26,63.2,17.4,19.4,46.8,330
Web Live Chat,2026-07-26,75.2,13.4,11.4,60.8,490
Mobile App Feedback,2026-07-26,79.2,11.4,9.4,66.8,300
Social Media Mentions,2026-07-26,55.2,21.4,23.4,33.8,220
Post-Purchase Email Survey,2026-07-26,71.2,15.4,13.4,54.8,660
Voice,2026-07-25,60.8,18.6,20.6,48.0,340
Web Live Chat,2026-07-25,72.8,14.6,12.6,62.0,500
Mobile App Feedback,2026-07-25,76.8,12.6,10.6,68.0,310
Social Media Mentions,2026-07-25,52.8,22.6,24.6,35.0,230
Post-Purchase Email Survey,2026-07-25,68.8,16.6,14.6,56.0,670
Voice,2026-07-24,61.6,18.4,20.0,49.2,350
Web Live Chat,2026-07-24,73.6,14.4,12.0,63.2,510
Mobile App Feedback,2026-07-24,77.6,12.4,10.0,69.2,320
Social Media Mentions,2026-07-24,53.6,22.4,24.0,36.2,240
Post-Purchase Email Survey,2026-07-24,69.6,16.4,14.0,57.2,680
Voice,2026-07-23,62.4,18.2,19.4,50.4,290
Web Live Chat,2026-07-23,74.4,14.2,11.4,64.4,450
Mobile App Feedback,2026-07-23,78.4,12.2,9.4,70.4,260
Social Media Mentions,2026-07-23,54.4,22.2,23.4,37.4,180
Post-Purchase Email Survey,2026-07-23,70.4,16.2,13.4,58.4,620
Voice,2026-07-22,63.2,16.2,20.6,45.6,300
Web Live Chat,2026-07-22,75.2,12.2,12.6,59.6,460
Mobile App Feedback,2026-07-22,79.2,10.2,10.6,65.6,270
Social Media Mentions,2026-07-22,55.2,20.2,24.6,32.6,190
Post-Purchase Email Survey,2026-07-22,71.2,14.2,14.6,53.6,630
Voice,2026-07-21,60.8,19.2,20.0,46.8,310
Web Live Chat,2026-07-21,72.8,15.2,12.0,60.8,470
Mobile App Feedback,2026-07-21,76.8,13.2,10.0,66.8,280
Social Media Mentions,2026-07-21,52.8,23.2,24.0,33.8,200
Post-Purchase Email Survey,2026-07-21,68.8,17.2,14.0,54.8,640
Voice,2026-07-20,61.6,19.0,19.4,48.0,320
Web Live Chat,2026-07-20,73.6,15.0,11.4,62.0,480
Mobile App Feedback,2026-07-20,77.6,13.0,9.4,68.0,290
Social Media Mentions,2026-07-20,53.6,23.0,23.4,35.0,210
Post-Purchase Email Survey,2026-07-20,69.6,17.0,13.4,56.0,650
Voice,2026-07-19,62.4,17.0,20.6,49.2,330
Web Live Chat,2026-07-19,74.4,13.0,12.6,63.2,490
Mobile App Feedback,2026-07-19,78.4,11.0,10.6,69.2,300
Social Media Mentions,2026-07-19,54.4,21.0,24.6,36.2,220
Post-Purchase Email Survey,2026-07-19,70.4,15.0,14.6,57.2,660
Voice,2026-07-18,63.2,16.8,20.0,50.4,340
Web Live Chat,2026-07-18,75.2,12.8,12.0,64.4,500
Mobile App Feedback,2026-07-18,79.2,10.8,10.0,70.4,310
Social Media Mentions,2026-07-18,55.2,20.8,24.0,37.4,230
Post-Purchase Email Survey,2026-07-18,71.2,14.8,14.0,58.4,670
Voice,2026-07-17,60.8,19.8,19.4,45.6,350
Web Live Chat,2026-07-17,72.8,15.8,11.4,59.6,510
Mobile App Feedback,2026-07-17,76.8,13.8,9.4,65.6,320
Social Media Mentions,2026-07-17,52.8,23.8,23.4,32.6,240
Post-Purchase Email Survey,2026-07-17,68.8,17.8,13.4,53.6,680
Voice,2026-07-16,61.6,17.8,20.6,46.8,290
Web Live Chat,2026-07-16,73.6,13.8,12.6,60.8,450
Mobile App Feedback,2026-07-16,77.6,11.8,10.6,66.8,260
Social Media Mentions,2026-07-16,53.6,21.8,24.6,33.8,180
Post-Purchase Email Survey,2026-07-16,69.6,15.8,14.6,54.8,620
Voice,2026-07-15,62.4,17.6,20.0,48.0,300
Web Live Chat,2026-07-15,74.4,13.6,12.0,62.0,460
Mobile App Feedback,2026-07-15,78.4,11.6,10.0,68.0,270
Social Media Mentions,2026-07-15,54.4,21.6,24.0,35.0,190
Post-Purchase Email Survey,2026-07-15,70.4,15.6,14.0,56.0,630
Voice,2026-07-14,63.2,17.4,19.4,49.2,310
Web Live Chat,2026-07-14,75.2,13.4,11.4,63.2,470
Mobile App Feedback,2026-07-14,79.2,11.4,9.4,69.2,280
Social Media Mentions,2026-07-14,55.2,21.4,23.4,36.2,200
Post-Purchase Email Survey,2026-07-14,71.2,15.4,13.4,57.2,640
Voice,2026-07-13,60.8,18.6,20.6,50.4,320
Web Live Chat,2026-07-13,72.8,14.6,12.6,64.4,480
Mobile App Feedback,2026-07-13,76.8,12.6,10.6,70.4,290
Social Media Mentions,2026-07-13,52.8,22.6,24.6,37.4,210
Post-Purchase Email Survey,2026-07-13,68.8,16.6,14.6,58.4,650
Voice,2026-07-12,61.6,18.4,20.0,45.6,330
Web Live Chat,2026-07-12,73.6,14.4,12.0,59.6,490
Mobile App Feedback,2026-07-12,77.6,12.4,10.0,65.6,300
Social Media Mentions,2026-07-12,53.6,22.4,24.0,32.6,220
Post-Purchase Email Survey,2026-07-12,69.6,16.4,14.0,53.6,660
Voice,2026-07-11,62.4,18.2,19.4,46.8,340
Web Live Chat,2026-07-11,74.4,14.2,11.4,60.8,500
Mobile App Feedback,2026-07-11,78.4,12.2,9.4,66.8,310
Social Media Mentions,2026-07-11,54.4,22.2,23.4,33.8,230
Post-Purchase Email Survey,2026-07-11,70.4,16.2,13.4,54.8,670
Voice,2026-07-10,63.2,16.2,20.6,48.0,350
Web Live Chat,2026-07-10,75.2,12.2,12.6,62.0,510
Mobile App Feedback,2026-07-10,79.2,10.2,10.6,68.0,320
Social Media Mentions,2026-07-10,55.2,20.2,24.6,35.0,240
Post-Purchase Email Survey,2026-07-10,71.2,14.2,14.6,56.0,680
Voice,2026-07-09,60.8,19.2,20.0,49.2,290
Web Live Chat,2026-07-09,72.8,15.2,12.0,63.2,450
Mobile App Feedback,2026-07-09,76.8,13.2,10.0,69.2,260
Social Media Mentions,2026-07-09,52.8,23.2,24.0,36.2,180
Post-Purchase Email Survey,2026-07-09,68.8,17.2,14.0,57.2,620
Voice,2026-07-08,61.6,19.0,19.4,50.4,300
Web Live Chat,2026-07-08,73.6,15.0,11.4,64.4,460
Mobile App Feedback,2026-07-08,77.6,13.0,9.4,70.4,270
Social Media Mentions,2026-07-08,53.6,23.0,23.4,37.4,190
Post-Purchase Email Survey,2026-07-08,69.6,17.0,13.4,58.4,630
