topic_id,topic_name,category,date,mention_count,net_sentiment_score,promoter_mentions,detractor_mentions,sentiment_trend
TOP-101,Apparel Sizing Consistency,Product,2026-07-23,193,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-23,248,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-23,203,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-23,288,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-23,148,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-23,168,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-22,177,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-22,232,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-22,187,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-22,272,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-22,132,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-22,152,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-21,181,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-21,236,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-21,191,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-21,276,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-21,136,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-21,156,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-20,185,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-20,240,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-20,195,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-20,280,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-20,140,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-20,160,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-19,189,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-19,244,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-19,199,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-19,284,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-19,144,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-19,164,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-18,193,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-18,248,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-18,203,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-18,288,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-18,148,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-18,168,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-17,177,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-17,232,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-17,187,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-17,272,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-17,132,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-17,152,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-16,181,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-16,236,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-16,191,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-16,276,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-16,136,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-16,156,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-15,185,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-15,240,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-15,195,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-15,280,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-15,140,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-15,160,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-14,189,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-14,244,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-14,199,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-14,284,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-14,144,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-14,164,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-13,193,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-13,248,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-13,203,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-13,288,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-13,148,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-13,168,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-12,177,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-12,232,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-12,187,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-12,272,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-12,132,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-12,152,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-11,181,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-11,236,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-11,191,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-11,276,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-11,136,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-11,156,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-10,185,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-10,240,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-10,195,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-10,280,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-10,140,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-10,160,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-09,189,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-09,244,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-09,199,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-09,284,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-09,144,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-09,164,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-08,193,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-08,248,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-08,203,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-08,288,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-08,148,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-08,168,-0.32,40,95,Declining
