store_id,department,date,total_items_picked,mispicked_items_count,out_of_stock_cancellations,pick_accuracy_pct
STORE-003,Apparel,2026-07-14,220,4,1,98.18
STORE-003,Electronics,2026-07-14,309,8,2,97.41
STORE-003,Home,2026-07-14,178,4,1,97.75
STORE-004,Grocery,2026-07-14,106,11,1,89.62
STORE-004,Apparel,2026-07-14,202,6,2,97.03
STORE-004,Electronics,2026-07-14,321,2,6,99.38
STORE-004,Home,2026-07-14,171,6,5,96.49
STORE-001,Grocery,2026-07-15,230,7,5,96.96
STORE-001,Apparel,2026-07-15,315,9,2,97.14
STORE-001,Electronics,2026-07-15,340,1,0,99.71
STORE-001,Home,2026-07-15,324,5,1,98.46
STORE-002,Grocery,2026-07-15,248,5,0,97.98
STORE-002,Apparel,2026-07-15,127,10,3,92.13
STORE-002,Electronics,2026-07-15,188,12,6,93.62
STORE-002,Home,2026-07-15,180,7,4,96.11
STORE-003,Grocery,2026-07-15,230,2,3,99.13
STORE-003,Apparel,2026-07-15,330,10,1,96.97
STORE-003,Electronics,2026-07-15,165,1,5,99.39
STORE-003,Home,2026-07-15,211,1,4,99.53
STORE-004,Grocery,2026-07-15,336,9,5,97.32
STORE-004,Apparel,2026-07-15,284,12,5,95.77
STORE-004,Electronics,2026-07-15,271,4,2,98.52
STORE-004,Home,2026-07-15,210,2,5,99.05
STORE-001,Grocery,2026-07-16,335,6,4,98.21
STORE-001,Apparel,2026-07-16,180,11,6,93.89
STORE-001,Electronics,2026-07-16,131,12,2,90.84
STORE-001,Home,2026-07-16,229,5,5,97.82
STORE-002,Grocery,2026-07-16,204,6,3,97.06
STORE-002,Apparel,2026-07-16,278,5,4,98.2
STORE-002,Electronics,2026-07-16,132,4,3,96.97
STORE-002,Home,2026-07-16,270,7,5,97.41
STORE-003,Grocery,2026-07-16,291,3,4,98.97
STORE-003,Apparel,2026-07-16,245,5,3,97.96
STORE-003,Electronics,2026-07-16,240,1,2,99.58
STORE-003,Home,2026-07-16,173,4,3,97.69
STORE-004,Grocery,2026-07-16,301,10,4,96.68
STORE-004,Apparel,2026-07-16,267,6,3,97.75
STORE-004,Electronics,2026-07-16,213,8,5,96.24
STORE-004,Home,2026-07-16,154,9,3,94.16
STORE-001,Grocery,2026-07-17,303,12,1,96.04
STORE-001,Apparel,2026-07-17,268,2,2,99.25
STORE-001,Electronics,2026-07-17,231,11,5,95.24
STORE-001,Home,2026-07-17,258,6,0,97.67
STORE-002,Grocery,2026-07-17,309,4,5,98.71
STORE-002,Apparel,2026-07-17,179,4,6,97.77
STORE-002,Electronics,2026-07-17,150,3,0,98.0
STORE-002,Home,2026-07-17,111,4,3,96.4
STORE-003,Grocery,2026-07-17,256,2,3,99.22
STORE-003,Apparel,2026-07-17,206,11,4,94.66
STORE-003,Electronics,2026-07-17,149,12,5,91.95
STORE-003,Home,2026-07-17,198,8,3,95.96
STORE-004,Grocery,2026-07-17,162,3,5,98.15
STORE-004,Apparel,2026-07-17,276,1,6,99.64
STORE-004,Electronics,2026-07-17,320,2,6,99.38
STORE-004,Home,2026-07-17,208,4,1,98.08
STORE-001,Grocery,2026-07-18,305,12,4,96.07
STORE-001,Apparel,2026-07-18,218,1,4,99.54
STORE-001,Electronics,2026-07-18,163,2,3,98.77
STORE-001,Home,2026-07-18,134,8,5,94.03
STORE-002,Grocery,2026-07-18,235,9,4,96.17
STORE-002,Apparel,2026-07-18,181,8,4,95.58
STORE-002,Electronics,2026-07-18,308,12,4,96.1
STORE-002,Home,2026-07-18,209,9,3,95.69
STORE-003,Grocery,2026-07-18,329,3,5,99.09
STORE-003,Apparel,2026-07-18,320,8,3,97.5
STORE-003,Electronics,2026-07-18,166,4,6,97.59
STORE-003,Home,2026-07-18,263,5,6,98.1
STORE-004,Grocery,2026-07-18,299,9,3,96.99
STORE-004,Apparel,2026-07-18,260,4,2,98.46
STORE-004,Electronics,2026-07-18,212,2,5,99.06
STORE-004,Home,2026-07-18,173,4,2,97.69
STORE-001,Grocery,2026-07-19,185,6,4,96.76
STORE-001,Apparel,2026-07-19,120,3,1,97.5
STORE-001,Electronics,2026-07-19,159,7,5,95.6
STORE-001,Home,2026-07-19,139,12,1,91.37
STORE-002,Grocery,2026-07-19,116,7,3,93.97
STORE-002,Apparel,2026-07-19,184,9,3,95.11
STORE-002,Electronics,2026-07-19,206,1,1,99.51
STORE-002,Home,2026-07-19,313,7,3,97.76
STORE-003,Grocery,2026-07-19,331,10,5,96.98
STORE-003,Apparel,2026-07-19,105,10,3,90.48
STORE-003,Electronics,2026-07-19,222,1,2,99.55
STORE-003,Home,2026-07-19,176,7,6,96.02
STORE-004,Grocery,2026-07-19,328,7,4,97.87
STORE-004,Apparel,2026-07-19,291,12,4,95.88
STORE-004,Electronics,2026-07-19,304,10,1,96.71
STORE-004,Home,2026-07-19,224,4,2,98.21
STORE-001,Grocery,2026-07-20,211,8,0,96.21
STORE-001,Apparel,2026-07-20,199,6,5,96.98
STORE-001,Electronics,2026-07-20,273,7,5,97.44
STORE-001,Home,2026-07-20,142,8,1,94.37
STORE-002,Grocery,2026-07-20,259,9,0,96.53
STORE-002,Apparel,2026-07-20,332,7,4,97.89
STORE-002,Electronics,2026-07-20,244,11,0,95.49
STORE-002,Home,2026-07-20,121,11,3,90.91
STORE-003,Grocery,2026-07-20,134,8,1,94.03
STORE-003,Apparel,2026-07-20,112,5,3,95.54
STORE-003,Electronics,2026-07-20,183,4,3,97.81
STORE-003,Home,2026-07-20,183,6,6,96.72
STORE-004,Grocery,2026-07-20,325,7,2,97.85
STORE-004,Apparel,2026-07-20,292,7,2,97.6
STORE-004,Electronics,2026-07-20,313,2,3,99.36
STORE-004,Home,2026-07-20,104,12,4,88.46
STORE-001,Grocery,2026-07-21,113,6,1,94.69
STORE-001,Apparel,2026-07-21,266,2,6,99.25
STORE-001,Electronics,2026-07-21,345,11,0,96.81
STORE-001,Home,2026-07-21,293,1,1,99.66
STORE-002,Grocery,2026-07-21,151,1,4,99.34
STORE-002,Apparel,2026-07-21,139,4,1,97.12
STORE-002,Electronics,2026-07-21,221,11,0,95.02
STORE-002,Home,2026-07-21,244,4,3,98.36
STORE-003,Grocery,2026-07-21,279,5,6,98.21
STORE-003,Apparel,2026-07-21,194,3,4,98.45
STORE-003,Electronics,2026-07-21,255,12,5,95.29
STORE-003,Home,2026-07-21,129,3,2,97.67
STORE-004,Grocery,2026-07-21,127,10,0,92.13
STORE-004,Apparel,2026-07-21,337,5,4,98.52
STORE-004,Electronics,2026-07-21,273,7,3,97.44
STORE-004,Home,2026-07-21,341,12,1,96.48
STORE-001,Grocery,2026-07-22,119,10,5,91.6
STORE-001,Apparel,2026-07-22,312,11,1,96.47
STORE-001,Electronics,2026-07-22,126,12,6,90.48
STORE-001,Home,2026-07-22,177,11,4,93.79
STORE-002,Grocery,2026-07-22,306,2,6,99.35
STORE-002,Apparel,2026-07-22,244,1,2,99.59
STORE-002,Electronics,2026-07-22,236,7,5,97.03
STORE-002,Home,2026-07-22,194,2,4,98.97
STORE-003,Grocery,2026-07-22,265,6,0,97.74
STORE-003,Apparel,2026-07-22,317,7,6,97.79
STORE-003,Electronics,2026-07-22,225,2,3,99.11
STORE-003,Home,2026-07-22,345,6,5,98.26
STORE-004,Grocery,2026-07-22,328,8,5,97.56
STORE-004,Apparel,2026-07-22,139,7,1,94.96
STORE-004,Electronics,2026-07-22,287,9,5,96.86
STORE-004,Home,2026-07-22,169,10,6,94.08
STORE-001,Grocery,2026-07-23,335,9,6,97.31
STORE-001,Apparel,2026-07-23,223,8,3,96.41
STORE-001,Electronics,2026-07-23,311,12,4,96.14
STORE-001,Home,2026-07-23,168,6,6,96.43
STORE-002,Grocery,2026-07-23,162,2,2,98.77
STORE-002,Apparel,2026-07-23,325,8,1,97.54
STORE-002,Electronics,2026-07-23,292,8,4,97.26
STORE-002,Home,2026-07-23,256,11,3,95.7
STORE-003,Grocery,2026-07-23,186,1,3,99.46
STORE-003,Apparel,2026-07-23,317,6,1,98.11
STORE-003,Electronics,2026-07-23,224,4,2,98.21
STORE-003,Home,2026-07-23,304,5,2,98.36
STORE-004,Grocery,2026-07-23,171,10,5,94.15
STORE-004,Apparel,2026-07-23,325,5,4,98.46
STORE-004,Electronics,2026-07-23,102,9,1,91.18
STORE-004,Home,2026-07-23,121,4,5,96.69
STORE-001,Grocery,2026-07-24,204,8,4,96.08
STORE-001,Apparel,2026-07-24,294,4,5,98.64
STORE-001,Electronics,2026-07-24,221,11,5,95.02
STORE-001,Home,2026-07-24,225,8,6,96.44
STORE-002,Grocery,2026-07-24,104,2,2,98.08
STORE-002,Apparel,2026-07-24,156,7,5,95.51
STORE-002,Electronics,2026-07-24,162,5,5,96.91
STORE-002,Home,2026-07-24,248,6,3,97.58
STORE-003,Grocery,2026-07-24,241,9,2,96.27
STORE-003,Apparel,2026-07-24,208,12,4,94.23
STORE-003,Electronics,2026-07-24,184,6,5,96.74
STORE-003,Home,2026-07-24,216,5,2,97.69
STORE-004,Grocery,2026-07-24,164,4,0,97.56
STORE-004,Apparel,2026-07-24,284,4,2,98.59
STORE-004,Electronics,2026-07-24,130,12,4,90.77
STORE-004,Home,2026-07-24,343,12,1,96.5
