store_id,date,hour_of_day,customer_traffic_count,completed_transactions
STORE-004,2026-07-11,18,136,79
STORE-004,2026-07-11,19,131,70
STORE-004,2026-07-11,20,44,28
STORE-004,2026-07-11,21,57,29
STORE-001,2026-07-12,8,46,22
STORE-001,2026-07-12,9,58,36
STORE-001,2026-07-12,10,85,49
STORE-001,2026-07-12,11,94,45
STORE-001,2026-07-12,12,151,84
STORE-001,2026-07-12,13,151,84
STORE-001,2026-07-12,14,128,66
STORE-001,2026-07-12,15,77,49
STORE-001,2026-07-12,16,102,63
STORE-001,2026-07-12,17,137,63
STORE-001,2026-07-12,18,154,98
STORE-001,2026-07-12,19,131,72
STORE-001,2026-07-12,20,33,20
STORE-001,2026-07-12,21,53,25
STORE-002,2026-07-12,8,45,25
STORE-002,2026-07-12,9,38,24
STORE-002,2026-07-12,10,89,44
STORE-002,2026-07-12,11,92,55
STORE-002,2026-07-12,12,134,69
STORE-002,2026-07-12,13,158,92
STORE-002,2026-07-12,14,141,78
STORE-002,2026-07-12,15,80,40
STORE-002,2026-07-12,16,86,49
STORE-002,2026-07-12,17,135,67
STORE-002,2026-07-12,18,130,75
STORE-002,2026-07-12,19,135,85
STORE-002,2026-07-12,20,56,26
STORE-002,2026-07-12,21,38,22
STORE-003,2026-07-12,8,37,18
STORE-003,2026-07-12,9,59,33
STORE-003,2026-07-12,10,90,55
STORE-003,2026-07-12,11,100,49
STORE-003,2026-07-12,12,131,70
STORE-003,2026-07-12,13,141,77
STORE-003,2026-07-12,14,150,88
STORE-003,2026-07-12,15,106,50
STORE-003,2026-07-12,16,88,46
STORE-003,2026-07-12,17,154,77
STORE-003,2026-07-12,18,134,72
STORE-003,2026-07-12,19,141,71
STORE-003,2026-07-12,20,38,24
STORE-003,2026-07-12,21,44,27
STORE-004,2026-07-12,8,47,22
STORE-004,2026-07-12,9,60,37
STORE-004,2026-07-12,10,105,67
STORE-004,2026-07-12,11,101,49
STORE-004,2026-07-12,12,143,70
STORE-004,2026-07-12,13,140,65
STORE-004,2026-07-12,14,139,90
STORE-004,2026-07-12,15,84,51
STORE-004,2026-07-12,16,90,48
STORE-004,2026-07-12,17,157,102
STORE-004,2026-07-12,18,145,86
STORE-004,2026-07-12,19,133,68
STORE-004,2026-07-12,20,60,34
STORE-004,2026-07-12,21,47,28
STORE-001,2026-07-13,8,22,12
STORE-001,2026-07-13,9,35,22
STORE-001,2026-07-13,10,60,39
STORE-001,2026-07-13,11,57,28
STORE-001,2026-07-13,12,113,66
STORE-001,2026-07-13,13,102,48
STORE-001,2026-07-13,14,122,61
STORE-001,2026-07-13,15,73,42
STORE-001,2026-07-13,16,68,39
STORE-001,2026-07-13,17,111,71
STORE-001,2026-07-13,18,101,60
STORE-001,2026-07-13,19,102,54
STORE-001,2026-07-13,20,40,20
STORE-001,2026-07-13,21,29,17
STORE-002,2026-07-13,8,22,12
STORE-002,2026-07-13,9,50,32
STORE-002,2026-07-13,10,57,28
STORE-002,2026-07-13,11,63,40
STORE-002,2026-07-13,12,121,76
STORE-002,2026-07-13,13,106,51
STORE-002,2026-07-13,14,120,71
STORE-002,2026-07-13,15,73,47
STORE-002,2026-07-13,16,75,34
STORE-002,2026-07-13,17,120,61
STORE-002,2026-07-13,18,115,73
STORE-002,2026-07-13,19,99,47
STORE-002,2026-07-13,20,23,13
STORE-002,2026-07-13,21,28,16
STORE-003,2026-07-13,8,42,21
STORE-003,2026-07-13,9,39,20
STORE-003,2026-07-13,10,70,44
STORE-003,2026-07-13,11,80,37
STORE-003,2026-07-13,12,108,55
STORE-003,2026-07-13,13,95,57
STORE-003,2026-07-13,14,114,57
STORE-003,2026-07-13,15,77,43
STORE-003,2026-07-13,16,68,31
STORE-003,2026-07-13,17,97,61
STORE-003,2026-07-13,18,122,68
STORE-003,2026-07-13,19,120,68
STORE-003,2026-07-13,20,24,11
STORE-003,2026-07-13,21,29,18
STORE-004,2026-07-13,8,44,27
STORE-004,2026-07-13,9,47,23
STORE-004,2026-07-13,10,62,29
STORE-004,2026-07-13,11,78,49
STORE-004,2026-07-13,12,107,61
STORE-004,2026-07-13,13,100,64
STORE-004,2026-07-13,14,121,78
STORE-004,2026-07-13,15,79,49
STORE-004,2026-07-13,16,56,33
STORE-004,2026-07-13,17,105,67
STORE-004,2026-07-13,18,119,74
STORE-004,2026-07-13,19,119,60
STORE-004,2026-07-13,20,44,21
STORE-004,2026-07-13,21,46,29
STORE-001,2026-07-14,8,27,17
STORE-001,2026-07-14,9,34,17
STORE-001,2026-07-14,10,79,39
STORE-001,2026-07-14,11,56,27
STORE-001,2026-07-14,12,105,65
STORE-001,2026-07-14,13,124,63
STORE-001,2026-07-14,14,114,60
STORE-001,2026-07-14,15,84,47
STORE-001,2026-07-14,16,83,39
STORE-001,2026-07-14,17,124,60
STORE-001,2026-07-14,18,124,62
STORE-001,2026-07-14,19,98,53
STORE-001,2026-07-14,20,42,22
STORE-001,2026-07-14,21,38,21
STORE-002,2026-07-14,8,32,18
STORE-002,2026-07-14,9,28,17
STORE-002,2026-07-14,10,55,35
STORE-002,2026-07-14,11,71,42
STORE-002,2026-07-14,12,117,68
STORE-002,2026-07-14,13,106,49
STORE-002,2026-07-14,14,115,59
STORE-002,2026-07-14,15,64,40
STORE-002,2026-07-14,16,77,39
STORE-002,2026-07-14,17,104,55
STORE-002,2026-07-14,18,107,54
STORE-002,2026-07-14,19,99,53
STORE-002,2026-07-14,20,48,28
STORE-002,2026-07-14,21,47,27
STORE-003,2026-07-14,8,29,16
STORE-003,2026-07-14,9,20,10
STORE-003,2026-07-14,10,68,38
STORE-003,2026-07-14,11,75,41
STORE-003,2026-07-14,12,108,53
STORE-003,2026-07-14,13,109,69
STORE-003,2026-07-14,14,119,58
STORE-003,2026-07-14,15,58,32
STORE-003,2026-07-14,16,74,38
STORE-003,2026-07-14,17,120,72
STORE-003,2026-07-14,18,115,57
STORE-003,2026-07-14,19,101,46
STORE-003,2026-07-14,20,27,15
STORE-003,2026-07-14,21,45,21
STORE-004,2026-07-14,8,32,18
STORE-004,2026-07-14,9,26,15
STORE-004,2026-07-14,10,70,35
STORE-004,2026-07-14,11,75,34
STORE-004,2026-07-14,12,118,71
STORE-004,2026-07-14,13,98,52
STORE-004,2026-07-14,14,100,64
STORE-004,2026-07-14,15,71,33
STORE-004,2026-07-14,16,62,38
STORE-004,2026-07-14,17,109,67
STORE-004,2026-07-14,18,115,74
STORE-004,2026-07-14,19,113,72
STORE-004,2026-07-14,20,47,27
STORE-004,2026-07-14,21,42,23
STORE-001,2026-07-15,8,45,25
STORE-001,2026-07-15,9,47,28
STORE-001,2026-07-15,10,69,35
STORE-001,2026-07-15,11,62,36
STORE-001,2026-07-15,12,118,65
STORE-001,2026-07-15,13,114,58
STORE-001,2026-07-15,14,97,49
STORE-001,2026-07-15,15,63,32
STORE-001,2026-07-15,16,71,34
STORE-001,2026-07-15,17,102,60
STORE-001,2026-07-15,18,116,54
STORE-001,2026-07-15,19,107,60
STORE-001,2026-07-15,20,32,16
STORE-001,2026-07-15,21,33,21
STORE-002,2026-07-15,8,38,22
STORE-002,2026-07-15,9,46,28
STORE-002,2026-07-15,10,66,30
STORE-002,2026-07-15,11,66,40
STORE-002,2026-07-15,12,121,78
STORE-002,2026-07-15,13,108,65
STORE-002,2026-07-15,14,111,63
STORE-002,2026-07-15,15,62,31
STORE-002,2026-07-15,16,68,31
STORE-002,2026-07-15,17,105,62
STORE-002,2026-07-15,18,107,52
STORE-002,2026-07-15,19,109,52
STORE-002,2026-07-15,20,39,18
STORE-002,2026-07-15,21,32,18
STORE-003,2026-07-15,8,21,12
STORE-003,2026-07-15,9,24,13
STORE-003,2026-07-15,10,57,30
STORE-003,2026-07-15,11,61,31
STORE-003,2026-07-15,12,118,62
STORE-003,2026-07-15,13,118,73
STORE-003,2026-07-15,14,103,48
STORE-003,2026-07-15,15,56,31
STORE-003,2026-07-15,16,85,44
STORE-003,2026-07-15,17,115,70
STORE-003,2026-07-15,18,115,69
STORE-003,2026-07-15,19,123,60
STORE-003,2026-07-15,20,21,10
STORE-003,2026-07-15,21,24,14
STORE-004,2026-07-15,8,37,18
STORE-004,2026-07-15,9,41,25
STORE-004,2026-07-15,10,60,34
STORE-004,2026-07-15,11,77,36
STORE-004,2026-07-15,12,120,77
STORE-004,2026-07-15,13,98,45
STORE-004,2026-07-15,14,104,61
STORE-004,2026-07-15,15,84,44
STORE-004,2026-07-15,16,76,35
STORE-004,2026-07-15,17,116,67
STORE-004,2026-07-15,18,98,59
STORE-004,2026-07-15,19,121,69
STORE-004,2026-07-15,20,24,16
STORE-004,2026-07-15,21,43,22
STORE-001,2026-07-16,8,33,17
STORE-001,2026-07-16,9,35,18
STORE-001,2026-07-16,10,80,49
STORE-001,2026-07-16,11,58,37
STORE-001,2026-07-16,12,114,70
STORE-001,2026-07-16,13,116,62
STORE-001,2026-07-16,14,117,75
STORE-001,2026-07-16,15,63,39
STORE-001,2026-07-16,16,71,39
STORE-001,2026-07-16,17,108,64
STORE-001,2026-07-16,18,103,64
STORE-001,2026-07-16,19,120,56
STORE-001,2026-07-16,20,46,23
STORE-001,2026-07-16,21,34,19
STORE-002,2026-07-16,8,31,14
STORE-002,2026-07-16,9,46,22
STORE-002,2026-07-16,10,61,37
STORE-002,2026-07-16,11,65,41
STORE-002,2026-07-16,12,116,59
STORE-002,2026-07-16,13,95,61
STORE-002,2026-07-16,14,98,58
STORE-002,2026-07-16,15,70,42
STORE-002,2026-07-16,16,76,44
STORE-002,2026-07-16,17,110,67
STORE-002,2026-07-16,18,98,48
STORE-002,2026-07-16,19,116,59
STORE-002,2026-07-16,20,37,20
STORE-002,2026-07-16,21,36,19
STORE-003,2026-07-16,8,42,22
STORE-003,2026-07-16,9,41,21
STORE-003,2026-07-16,10,63,30
STORE-003,2026-07-16,11,61,29
STORE-003,2026-07-16,12,111,67
STORE-003,2026-07-16,13,101,50
STORE-003,2026-07-16,14,110,65
STORE-003,2026-07-16,15,84,47
STORE-003,2026-07-16,16,63,30
STORE-003,2026-07-16,17,101,50
STORE-003,2026-07-16,18,100,45
STORE-003,2026-07-16,19,111,56
STORE-003,2026-07-16,20,49,27
STORE-003,2026-07-16,21,41,19
STORE-004,2026-07-16,8,46,25
STORE-004,2026-07-16,9,46,26
STORE-004,2026-07-16,10,69,37
STORE-004,2026-07-16,11,61,28
STORE-004,2026-07-16,12,123,67
STORE-004,2026-07-16,13,120,64
STORE-004,2026-07-16,14,97,56
STORE-004,2026-07-16,15,57,27
STORE-004,2026-07-16,16,72,37
STORE-004,2026-07-16,17,125,59
STORE-004,2026-07-16,18,118,67
STORE-004,2026-07-16,19,119,59
STORE-004,2026-07-16,20,36,19
STORE-004,2026-07-16,21,33,21
STORE-001,2026-07-17,8,50,26
STORE-001,2026-07-17,9,39,22
STORE-001,2026-07-17,10,77,49
STORE-001,2026-07-17,11,61,30
STORE-001,2026-07-17,12,115,55
STORE-001,2026-07-17,13,100,47
STORE-001,2026-07-17,14,95,51
STORE-001,2026-07-17,15,73,37
STORE-001,2026-07-17,16,62,37
STORE-001,2026-07-17,17,116,63
STORE-001,2026-07-17,18,116,74
STORE-001,2026-07-17,19,119,68
STORE-001,2026-07-17,20,40,25
STORE-001,2026-07-17,21,33,18
STORE-002,2026-07-17,8,39,25
STORE-002,2026-07-17,9,45,21
STORE-002,2026-07-17,10,60,31
STORE-002,2026-07-17,11,77,43
STORE-002,2026-07-17,12,104,49
STORE-002,2026-07-17,13,116,68
STORE-002,2026-07-17,14,123,68
STORE-002,2026-07-17,15,70,33
STORE-002,2026-07-17,16,56,30
STORE-002,2026-07-17,17,105,53
STORE-002,2026-07-17,18,98,63
STORE-002,2026-07-17,19,120,68
STORE-002,2026-07-17,20,49,32
STORE-002,2026-07-17,21,40,20
STORE-003,2026-07-17,8,21,13
STORE-003,2026-07-17,9,34,20
STORE-003,2026-07-17,10,82,40
STORE-003,2026-07-17,11,73,42
STORE-003,2026-07-17,12,110,52
STORE-003,2026-07-17,13,105,54
STORE-003,2026-07-17,14,115,71
STORE-003,2026-07-17,15,65,38
STORE-003,2026-07-17,16,64,41
STORE-003,2026-07-17,17,119,67
STORE-003,2026-07-17,18,109,56
STORE-003,2026-07-17,19,105,68
STORE-003,2026-07-17,20,32,18
STORE-003,2026-07-17,21,50,29
STORE-004,2026-07-17,8,36,19
STORE-004,2026-07-17,9,26,14
STORE-004,2026-07-17,10,78,45
STORE-004,2026-07-17,11,78,38
STORE-004,2026-07-17,12,111,71
STORE-004,2026-07-17,13,108,64
STORE-004,2026-07-17,14,99,64
STORE-004,2026-07-17,15,73,36
STORE-004,2026-07-17,16,60,34
STORE-004,2026-07-17,17,112,52
STORE-004,2026-07-17,18,125,79
STORE-004,2026-07-17,19,109,52
STORE-004,2026-07-17,20,45,25
STORE-004,2026-07-17,21,41,23
STORE-001,2026-07-18,8,39,24
STORE-001,2026-07-18,9,60,30
STORE-001,2026-07-18,10,93,49
STORE-001,2026-07-18,11,104,57
STORE-001,2026-07-18,12,154,96
STORE-001,2026-07-18,13,136,83
STORE-001,2026-07-18,14,140,89
STORE-001,2026-07-18,15,91,56
STORE-001,2026-07-18,16,84,43
STORE-001,2026-07-18,17,146,95
STORE-001,2026-07-18,18,143,69
STORE-001,2026-07-18,19,144,75
STORE-001,2026-07-18,20,47,26
STORE-001,2026-07-18,21,44,23
STORE-002,2026-07-18,8,36,21
STORE-002,2026-07-18,9,48,24
STORE-002,2026-07-18,10,99,45
STORE-002,2026-07-18,11,98,58
STORE-002,2026-07-18,12,152,80
STORE-002,2026-07-18,13,148,91
STORE-002,2026-07-18,14,157,86
STORE-002,2026-07-18,15,77,42
STORE-002,2026-07-18,16,94,59
STORE-002,2026-07-18,17,154,83
STORE-002,2026-07-18,18,144,78
STORE-002,2026-07-18,19,150,80
STORE-002,2026-07-18,20,50,24
STORE-002,2026-07-18,21,45,29
STORE-003,2026-07-18,8,41,24
STORE-003,2026-07-18,9,50,31
STORE-003,2026-07-18,10,102,63
STORE-003,2026-07-18,11,87,45
STORE-003,2026-07-18,12,150,90
STORE-003,2026-07-18,13,154,70
STORE-003,2026-07-18,14,130,75
STORE-003,2026-07-18,15,104,68
STORE-003,2026-07-18,16,98,53
STORE-003,2026-07-18,17,131,76
STORE-003,2026-07-18,18,154,83
STORE-003,2026-07-18,19,149,94
STORE-003,2026-07-18,20,32,19
STORE-003,2026-07-18,21,39,20
STORE-004,2026-07-18,8,35,19
STORE-004,2026-07-18,9,47,29
STORE-004,2026-07-18,10,81,38
STORE-004,2026-07-18,11,102,59
STORE-004,2026-07-18,12,135,85
STORE-004,2026-07-18,13,132,72
STORE-004,2026-07-18,14,136,68
STORE-004,2026-07-18,15,76,46
STORE-004,2026-07-18,16,103,60
STORE-004,2026-07-18,17,133,72
STORE-004,2026-07-18,18,138,78
STORE-004,2026-07-18,19,147,79
STORE-004,2026-07-18,20,38,24
STORE-004,2026-07-18,21,36,19
STORE-001,2026-07-19,8,45,22
STORE-001,2026-07-19,9,48,27
STORE-001,2026-07-19,10,106,54
STORE-001,2026-07-19,11,105,61
STORE-001,2026-07-19,12,136,77
STORE-001,2026-07-19,13,149,89
STORE-001,2026-07-19,14,129,74
STORE-001,2026-07-19,15,91,57
STORE-001,2026-07-19,16,85,52
STORE-001,2026-07-19,17,146,76
STORE-001,2026-07-19,18,147,84
STORE-001,2026-07-19,19,148,88
STORE-001,2026-07-19,20,50,31
STORE-001,2026-07-19,21,49,31
STORE-002,2026-07-19,8,50,26
STORE-002,2026-07-19,9,44,25
STORE-002,2026-07-19,10,98,46
STORE-002,2026-07-19,11,85,51
STORE-002,2026-07-19,12,133,63
STORE-002,2026-07-19,13,144,93
STORE-002,2026-07-19,14,144,91
STORE-002,2026-07-19,15,101,51
STORE-002,2026-07-19,16,101,55
STORE-002,2026-07-19,17,152,91
STORE-002,2026-07-19,18,138,65
STORE-002,2026-07-19,19,157,75
STORE-002,2026-07-19,20,59,37
STORE-002,2026-07-19,21,52,34
STORE-003,2026-07-19,8,60,37
STORE-003,2026-07-19,9,41,25
STORE-003,2026-07-19,10,76,42
STORE-003,2026-07-19,11,90,53
STORE-003,2026-07-19,12,148,84
STORE-003,2026-07-19,13,153,98
STORE-003,2026-07-19,14,131,65
STORE-003,2026-07-19,15,77,48
STORE-003,2026-07-19,16,93,59
STORE-003,2026-07-19,17,135,62
STORE-003,2026-07-19,18,153,97
STORE-003,2026-07-19,19,137,73
STORE-003,2026-07-19,20,35,22
STORE-003,2026-07-19,21,40,22
STORE-004,2026-07-19,8,33,21
STORE-004,2026-07-19,9,35,19
STORE-004,2026-07-19,10,96,57
STORE-004,2026-07-19,11,104,56
STORE-004,2026-07-19,12,150,72
STORE-004,2026-07-19,13,140,66
STORE-004,2026-07-19,14,143,76
STORE-004,2026-07-19,15,105,48
STORE-004,2026-07-19,16,87,47
STORE-004,2026-07-19,17,157,98
STORE-004,2026-07-19,18,131,77
STORE-004,2026-07-19,19,144,93
STORE-004,2026-07-19,20,41,22
STORE-004,2026-07-19,21,36,17
STORE-001,2026-07-20,8,45,24
STORE-001,2026-07-20,9,40,23
STORE-001,2026-07-20,10,73,33
STORE-001,2026-07-20,11,79,39
STORE-001,2026-07-20,12,99,56
STORE-001,2026-07-20,13,97,58
STORE-001,2026-07-20,14,101,50
STORE-001,2026-07-20,15,81,42
STORE-001,2026-07-20,16,59,37
STORE-001,2026-07-20,17,95,59
STORE-001,2026-07-20,18,99,47
STORE-001,2026-07-20,19,103,50
STORE-001,2026-07-20,20,40,18
STORE-001,2026-07-20,21,20,12
STORE-002,2026-07-20,8,27,14
STORE-002,2026-07-20,9,25,12
STORE-002,2026-07-20,10,77,43
STORE-002,2026-07-20,11,77,42
STORE-002,2026-07-20,12,118,65
STORE-002,2026-07-20,13,98,54
STORE-002,2026-07-20,14,123,56
STORE-002,2026-07-20,15,78,49
STORE-002,2026-07-20,16,71,38
STORE-002,2026-07-20,17,124,57
STORE-002,2026-07-20,18,109,58
STORE-002,2026-07-20,19,116,64
STORE-002,2026-07-20,20,47,22
STORE-002,2026-07-20,21,22,13
STORE-003,2026-07-20,8,22,11
STORE-003,2026-07-20,9,39,22
STORE-003,2026-07-20,10,65,42
STORE-003,2026-07-20,11,71,38
STORE-003,2026-07-20,12,113,53
STORE-003,2026-07-20,13,116,72
STORE-003,2026-07-20,14,115,69
STORE-003,2026-07-20,15,77,38
STORE-003,2026-07-20,16,69,34
STORE-003,2026-07-20,17,105,57
STORE-003,2026-07-20,18,107,50
STORE-003,2026-07-20,19,108,63
STORE-003,2026-07-20,20,31,15
STORE-003,2026-07-20,21,48,22
STORE-004,2026-07-20,8,45,21
STORE-004,2026-07-20,9,23,14
STORE-004,2026-07-20,10,79,44
STORE-004,2026-07-20,11,73,41
STORE-004,2026-07-20,12,105,50
STORE-004,2026-07-20,13,106,62
STORE-004,2026-07-20,14,118,74
STORE-004,2026-07-20,15,77,50
STORE-004,2026-07-20,16,73,38
STORE-004,2026-07-20,17,112,55
STORE-004,2026-07-20,18,115,57
STORE-004,2026-07-20,19,98,61
STORE-004,2026-07-20,20,31,19
STORE-004,2026-07-20,21,37,23
STORE-001,2026-07-21,8,45,29
STORE-001,2026-07-21,9,45,26
STORE-001,2026-07-21,10,74,34
STORE-001,2026-07-21,11,83,51
STORE-001,2026-07-21,12,103,50
STORE-001,2026-07-21,13,116,59
STORE-001,2026-07-21,14,105,47
STORE-001,2026-07-21,15,81,46
STORE-001,2026-07-21,16,67,32
STORE-001,2026-07-21,17,114,52
STORE-001,2026-07-21,18,117,58
STORE-001,2026-07-21,19,108,56
STORE-001,2026-07-21,20,31,18
STORE-001,2026-07-21,21,43,24
STORE-002,2026-07-21,8,23,11
STORE-002,2026-07-21,9,25,14
STORE-002,2026-07-21,10,75,38
STORE-002,2026-07-21,11,75,41
STORE-002,2026-07-21,12,108,55
STORE-002,2026-07-21,13,118,56
STORE-002,2026-07-21,14,108,55
STORE-002,2026-07-21,15,75,41
STORE-002,2026-07-21,16,75,34
STORE-002,2026-07-21,17,107,61
STORE-002,2026-07-21,18,95,48
STORE-002,2026-07-21,19,101,48
STORE-002,2026-07-21,20,28,14
STORE-002,2026-07-21,21,20,12
STORE-003,2026-07-21,8,25,13
STORE-003,2026-07-21,9,41,23
STORE-003,2026-07-21,10,80,49
STORE-003,2026-07-21,11,57,35
STORE-003,2026-07-21,12,96,44
STORE-003,2026-07-21,13,123,77
STORE-003,2026-07-21,14,112,63
STORE-003,2026-07-21,15,76,41
STORE-003,2026-07-21,16,58,26
STORE-003,2026-07-21,17,105,64
STORE-003,2026-07-21,18,114,70
STORE-003,2026-07-21,19,123,58
STORE-003,2026-07-21,20,45,22
STORE-003,2026-07-21,21,38,21
STORE-004,2026-07-21,8,32,16
STORE-004,2026-07-21,9,30,15
STORE-004,2026-07-21,10,60,33
STORE-004,2026-07-21,11,58,32
STORE-004,2026-07-21,12,122,63
STORE-004,2026-07-21,13,117,72
STORE-004,2026-07-21,14,119,59
STORE-004,2026-07-21,15,59,29
STORE-004,2026-07-21,16,73,44
STORE-004,2026-07-21,17,115,56
STORE-004,2026-07-21,18,118,65
STORE-004,2026-07-21,19,118,71
STORE-004,2026-07-21,20,33,21
STORE-004,2026-07-21,21,37,21
STORE-001,2026-07-22,8,39,24
STORE-001,2026-07-22,9,39,19
STORE-001,2026-07-22,10,57,31
STORE-001,2026-07-22,11,64,32
STORE-001,2026-07-22,12,97,53
STORE-001,2026-07-22,13,104,56
STORE-001,2026-07-22,14,97,60
STORE-001,2026-07-22,15,57,36
STORE-001,2026-07-22,16,81,46
STORE-001,2026-07-22,17,110,60
STORE-001,2026-07-22,18,112,68
STORE-001,2026-07-22,19,122,66
STORE-001,2026-07-22,20,44,26
STORE-001,2026-07-22,21,30,16
STORE-002,2026-07-22,8,25,12
STORE-002,2026-07-22,9,23,14
STORE-002,2026-07-22,10,65,39
STORE-002,2026-07-22,11,70,34
STORE-002,2026-07-22,12,102,55
STORE-002,2026-07-22,13,108,60
STORE-002,2026-07-22,14,100,52
STORE-002,2026-07-22,15,63,34
STORE-002,2026-07-22,16,65,37
STORE-002,2026-07-22,17,119,69
STORE-002,2026-07-22,18,97,45
STORE-002,2026-07-22,19,115,58
STORE-002,2026-07-22,20,42,24
STORE-002,2026-07-22,21,47,29
STORE-003,2026-07-22,8,30,17
STORE-003,2026-07-22,9,24,12
STORE-003,2026-07-22,10,84,50
STORE-003,2026-07-22,11,67,38
STORE-003,2026-07-22,12,123,63
STORE-003,2026-07-22,13,106,64
STORE-003,2026-07-22,14,119,69
STORE-003,2026-07-22,15,80,48
STORE-003,2026-07-22,16,76,42
STORE-003,2026-07-22,17,114,61
STORE-003,2026-07-22,18,106,55
STORE-003,2026-07-22,19,100,49
STORE-003,2026-07-22,20,48,26
STORE-003,2026-07-22,21,27,13
STORE-004,2026-07-22,8,22,14
STORE-004,2026-07-22,9,23,14
STORE-004,2026-07-22,10,80,50
STORE-004,2026-07-22,11,56,29
STORE-004,2026-07-22,12,118,56
STORE-004,2026-07-22,13,106,51
STORE-004,2026-07-22,14,120,73
STORE-004,2026-07-22,15,79,38
STORE-004,2026-07-22,16,68,36
STORE-004,2026-07-22,17,115,57
STORE-004,2026-07-22,18,108,55
STORE-004,2026-07-22,19,117,63
STORE-004,2026-07-22,20,36,18
STORE-004,2026-07-22,21,44,24
STORE-001,2026-07-23,8,45,24
STORE-001,2026-07-23,9,48,31
STORE-001,2026-07-23,10,69,35
STORE-001,2026-07-23,11,66,37
STORE-001,2026-07-23,12,124,76
STORE-001,2026-07-23,13,119,57
STORE-001,2026-07-23,14,103,60
STORE-001,2026-07-23,15,81,45
STORE-001,2026-07-23,16,58,36
STORE-001,2026-07-23,17,121,61
STORE-001,2026-07-23,18,118,60
STORE-001,2026-07-23,19,122,58
STORE-001,2026-07-23,20,33,21
STORE-001,2026-07-23,21,27,15
STORE-002,2026-07-23,8,30,14
STORE-002,2026-07-23,9,22,12
STORE-002,2026-07-23,10,62,40
STORE-002,2026-07-23,11,66,30
STORE-002,2026-07-23,12,123,76
STORE-002,2026-07-23,13,114,69
STORE-002,2026-07-23,14,99,50
STORE-002,2026-07-23,15,80,47
STORE-002,2026-07-23,16,59,35
STORE-002,2026-07-23,17,108,49
STORE-002,2026-07-23,18,97,49
STORE-002,2026-07-23,19,120,67
STORE-002,2026-07-23,20,42,23
STORE-002,2026-07-23,21,23,12
STORE-003,2026-07-23,8,29,13
STORE-003,2026-07-23,9,33,20
STORE-003,2026-07-23,10,69,33
STORE-003,2026-07-23,11,82,47
STORE-003,2026-07-23,12,95,53
STORE-003,2026-07-23,13,102,49
STORE-003,2026-07-23,14,108,62
STORE-003,2026-07-23,15,62,33
STORE-003,2026-07-23,16,75,35
STORE-003,2026-07-23,17,124,57
STORE-003,2026-07-23,18,111,61
STORE-003,2026-07-23,19,125,70
STORE-003,2026-07-23,20,32,17
STORE-003,2026-07-23,21,39,25
STORE-004,2026-07-23,8,28,13
STORE-004,2026-07-23,9,44,23
STORE-004,2026-07-23,10,77,44
STORE-004,2026-07-23,11,78,47
STORE-004,2026-07-23,12,105,48
STORE-004,2026-07-23,13,111,68
STORE-004,2026-07-23,14,100,61
STORE-004,2026-07-23,15,69,41
STORE-004,2026-07-23,16,74,45
STORE-004,2026-07-23,17,97,59
STORE-004,2026-07-23,18,109,55
STORE-004,2026-07-23,19,96,47
STORE-004,2026-07-23,20,21,13
STORE-004,2026-07-23,21,35,23
STORE-001,2026-07-24,8,36,18
STORE-001,2026-07-24,9,43,21
STORE-001,2026-07-24,10,66,40
STORE-001,2026-07-24,11,81,42
STORE-001,2026-07-24,12,99,52
