store_id,date,hour_of_day,department,scheduled_staff_count,actual_staff_count
STORE-003,2026-07-11,15,Checkout,4,4
STORE-003,2026-07-11,15,Sales Floor,6,6
STORE-003,2026-07-11,15,Stockroom,2,2
STORE-003,2026-07-11,16,Checkout,4,3
STORE-003,2026-07-11,16,Sales Floor,6,6
STORE-003,2026-07-11,16,Stockroom,2,2
STORE-003,2026-07-11,17,Checkout,7,6
STORE-003,2026-07-11,17,Sales Floor,6,6
STORE-003,2026-07-11,17,Stockroom,2,2
STORE-003,2026-07-11,18,Checkout,7,7
STORE-003,2026-07-11,18,Sales Floor,6,6
STORE-003,2026-07-11,18,Stockroom,2,2
STORE-003,2026-07-11,19,Checkout,7,6
STORE-003,2026-07-11,19,Sales Floor,4,4
STORE-003,2026-07-11,19,Stockroom,2,1
STORE-003,2026-07-11,20,Checkout,4,4
STORE-003,2026-07-11,20,Sales Floor,4,4
STORE-003,2026-07-11,20,Stockroom,2,2
STORE-003,2026-07-11,21,Checkout,4,4
STORE-003,2026-07-11,21,Sales Floor,4,5
STORE-003,2026-07-11,21,Stockroom,2,2
STORE-004,2026-07-11,8,Checkout,4,4
STORE-004,2026-07-11,8,Sales Floor,4,4
STORE-004,2026-07-11,8,Stockroom,4,3
STORE-004,2026-07-11,9,Checkout,4,4
STORE-004,2026-07-11,9,Sales Floor,4,3
STORE-004,2026-07-11,9,Stockroom,4,3
STORE-004,2026-07-11,10,Checkout,4,4
STORE-004,2026-07-11,10,Sales Floor,4,3
STORE-004,2026-07-11,10,Stockroom,4,4
STORE-004,2026-07-11,11,Checkout,4,4
STORE-004,2026-07-11,11,Sales Floor,6,5
STORE-004,2026-07-11,11,Stockroom,2,2
STORE-004,2026-07-11,12,Checkout,7,6
STORE-004,2026-07-11,12,Sales Floor,6,6
STORE-004,2026-07-11,12,Stockroom,2,2
STORE-004,2026-07-11,13,Checkout,7,7
STORE-004,2026-07-11,13,Sales Floor,6,6
STORE-004,2026-07-11,13,Stockroom,2,2
STORE-004,2026-07-11,14,Checkout,7,7
STORE-004,2026-07-11,14,Sales Floor,6,6
STORE-004,2026-07-11,14,Stockroom,2,1
STORE-004,2026-07-11,15,Checkout,4,4
STORE-004,2026-07-11,15,Sales Floor,6,7
STORE-004,2026-07-11,15,Stockroom,2,3
STORE-004,2026-07-11,16,Checkout,4,3
STORE-004,2026-07-11,16,Sales Floor,6,6
STORE-004,2026-07-11,16,Stockroom,2,2
STORE-004,2026-07-11,17,Checkout,7,7
STORE-004,2026-07-11,17,Sales Floor,6,6
STORE-004,2026-07-11,17,Stockroom,2,1
STORE-004,2026-07-11,18,Checkout,7,7
STORE-004,2026-07-11,18,Sales Floor,6,6
STORE-004,2026-07-11,18,Stockroom,2,3
STORE-004,2026-07-11,19,Checkout,7,7
STORE-004,2026-07-11,19,Sales Floor,4,3
STORE-004,2026-07-11,19,Stockroom,2,2
STORE-004,2026-07-11,20,Checkout,4,4
STORE-004,2026-07-11,20,Sales Floor,4,3
STORE-004,2026-07-11,20,Stockroom,2,2
STORE-004,2026-07-11,21,Checkout,4,4
STORE-004,2026-07-11,21,Sales Floor,4,4
STORE-004,2026-07-11,21,Stockroom,2,2
STORE-001,2026-07-12,8,Checkout,4,4
STORE-001,2026-07-12,8,Sales Floor,4,4
STORE-001,2026-07-12,8,Stockroom,4,4
STORE-001,2026-07-12,9,Checkout,4,4
STORE-001,2026-07-12,9,Sales Floor,4,3
STORE-001,2026-07-12,9,Stockroom,4,4
STORE-001,2026-07-12,10,Checkout,4,3
STORE-001,2026-07-12,10,Sales Floor,4,4
STORE-001,2026-07-12,10,Stockroom,4,4
STORE-001,2026-07-12,11,Checkout,4,4
STORE-001,2026-07-12,11,Sales Floor,6,7
STORE-001,2026-07-12,11,Stockroom,2,2
STORE-001,2026-07-12,12,Checkout,7,7
STORE-001,2026-07-12,12,Sales Floor,6,6
STORE-001,2026-07-12,12,Stockroom,2,2
STORE-001,2026-07-12,13,Checkout,7,6
STORE-001,2026-07-12,13,Sales Floor,6,6
STORE-001,2026-07-12,13,Stockroom,2,2
STORE-001,2026-07-12,14,Checkout,7,7
STORE-001,2026-07-12,14,Sales Floor,6,6
STORE-001,2026-07-12,14,Stockroom,2,2
STORE-001,2026-07-12,15,Checkout,4,4
STORE-001,2026-07-12,15,Sales Floor,6,6
STORE-001,2026-07-12,15,Stockroom,2,2
STORE-001,2026-07-12,16,Checkout,4,3
STORE-001,2026-07-12,16,Sales Floor,6,6
STORE-001,2026-07-12,16,Stockroom,2,2
STORE-001,2026-07-12,17,Checkout,7,7
STORE-001,2026-07-12,17,Sales Floor,6,6
STORE-001,2026-07-12,17,Stockroom,2,2
STORE-001,2026-07-12,18,Checkout,7,8
STORE-001,2026-07-12,18,Sales Floor,6,6
STORE-001,2026-07-12,18,Stockroom,2,1
STORE-001,2026-07-12,19,Checkout,7,7
STORE-001,2026-07-12,19,Sales Floor,4,3
STORE-001,2026-07-12,19,Stockroom,2,2
STORE-001,2026-07-12,20,Checkout,4,4
STORE-001,2026-07-12,20,Sales Floor,4,4
STORE-001,2026-07-12,20,Stockroom,2,2
STORE-001,2026-07-12,21,Checkout,4,4
STORE-001,2026-07-12,21,Sales Floor,4,4
STORE-001,2026-07-12,21,Stockroom,2,2
STORE-002,2026-07-12,8,Checkout,4,4
STORE-002,2026-07-12,8,Sales Floor,4,3
STORE-002,2026-07-12,8,Stockroom,4,4
STORE-002,2026-07-12,9,Checkout,4,5
STORE-002,2026-07-12,9,Sales Floor,4,4
STORE-002,2026-07-12,9,Stockroom,4,4
STORE-002,2026-07-12,10,Checkout,4,4
STORE-002,2026-07-12,10,Sales Floor,4,4
STORE-002,2026-07-12,10,Stockroom,4,4
STORE-002,2026-07-12,11,Checkout,4,4
STORE-002,2026-07-12,11,Sales Floor,6,5
STORE-002,2026-07-12,11,Stockroom,2,3
STORE-002,2026-07-12,12,Checkout,7,7
STORE-002,2026-07-12,12,Sales Floor,6,6
STORE-002,2026-07-12,12,Stockroom,2,1
STORE-002,2026-07-12,13,Checkout,7,7
STORE-002,2026-07-12,13,Sales Floor,6,6
STORE-002,2026-07-12,13,Stockroom,2,2
STORE-002,2026-07-12,14,Checkout,7,8
STORE-002,2026-07-12,14,Sales Floor,6,6
STORE-002,2026-07-12,14,Stockroom,2,1
STORE-002,2026-07-12,15,Checkout,4,4
STORE-002,2026-07-12,15,Sales Floor,6,6
STORE-002,2026-07-12,15,Stockroom,2,3
STORE-002,2026-07-12,16,Checkout,4,5
STORE-002,2026-07-12,16,Sales Floor,6,7
STORE-002,2026-07-12,16,Stockroom,2,2
STORE-002,2026-07-12,17,Checkout,7,7
STORE-002,2026-07-12,17,Sales Floor,6,5
STORE-002,2026-07-12,17,Stockroom,2,2
STORE-002,2026-07-12,18,Checkout,7,8
STORE-002,2026-07-12,18,Sales Floor,6,6
STORE-002,2026-07-12,18,Stockroom,2,2
STORE-002,2026-07-12,19,Checkout,7,7
STORE-002,2026-07-12,19,Sales Floor,4,5
STORE-002,2026-07-12,19,Stockroom,2,2
STORE-002,2026-07-12,20,Checkout,4,4
STORE-002,2026-07-12,20,Sales Floor,4,3
STORE-002,2026-07-12,20,Stockroom,2,2
STORE-002,2026-07-12,21,Checkout,4,4
STORE-002,2026-07-12,21,Sales Floor,4,5
STORE-002,2026-07-12,21,Stockroom,2,3
STORE-003,2026-07-12,8,Checkout,4,4
STORE-003,2026-07-12,8,Sales Floor,4,3
STORE-003,2026-07-12,8,Stockroom,4,4
STORE-003,2026-07-12,9,Checkout,4,5
STORE-003,2026-07-12,9,Sales Floor,4,4
STORE-003,2026-07-12,9,Stockroom,4,4
STORE-003,2026-07-12,10,Checkout,4,4
STORE-003,2026-07-12,10,Sales Floor,4,5
STORE-003,2026-07-12,10,Stockroom,4,4
STORE-003,2026-07-12,11,Checkout,4,4
STORE-003,2026-07-12,11,Sales Floor,6,6
STORE-003,2026-07-12,11,Stockroom,2,1
STORE-003,2026-07-12,12,Checkout,7,7
STORE-003,2026-07-12,12,Sales Floor,6,5
STORE-003,2026-07-12,12,Stockroom,2,2
STORE-003,2026-07-12,13,Checkout,7,6
STORE-003,2026-07-12,13,Sales Floor,6,7
STORE-003,2026-07-12,13,Stockroom,2,2
STORE-003,2026-07-12,14,Checkout,7,6
STORE-003,2026-07-12,14,Sales Floor,6,6
STORE-003,2026-07-12,14,Stockroom,2,2
STORE-003,2026-07-12,15,Checkout,4,3
STORE-003,2026-07-12,15,Sales Floor,6,7
STORE-003,2026-07-12,15,Stockroom,2,3
STORE-003,2026-07-12,16,Checkout,4,4
STORE-003,2026-07-12,16,Sales Floor,6,7
STORE-003,2026-07-12,16,Stockroom,2,2
STORE-003,2026-07-12,17,Checkout,7,7
STORE-003,2026-07-12,17,Sales Floor,6,6
STORE-003,2026-07-12,17,Stockroom,2,2
STORE-003,2026-07-12,18,Checkout,7,7
STORE-003,2026-07-12,18,Sales Floor,6,7
STORE-003,2026-07-12,18,Stockroom,2,1
STORE-003,2026-07-12,19,Checkout,7,7
STORE-003,2026-07-12,19,Sales Floor,4,3
STORE-003,2026-07-12,19,Stockroom,2,2
STORE-003,2026-07-12,20,Checkout,4,4
STORE-003,2026-07-12,20,Sales Floor,4,3
STORE-003,2026-07-12,20,Stockroom,2,2
STORE-003,2026-07-12,21,Checkout,4,4
STORE-003,2026-07-12,21,Sales Floor,4,4
STORE-003,2026-07-12,21,Stockroom,2,2
STORE-004,2026-07-12,8,Checkout,4,5
STORE-004,2026-07-12,8,Sales Floor,4,5
STORE-004,2026-07-12,8,Stockroom,4,5
STORE-004,2026-07-12,9,Checkout,4,5
STORE-004,2026-07-12,9,Sales Floor,4,5
STORE-004,2026-07-12,9,Stockroom,4,4
STORE-004,2026-07-12,10,Checkout,4,4
STORE-004,2026-07-12,10,Sales Floor,4,3
STORE-004,2026-07-12,10,Stockroom,4,4
STORE-004,2026-07-12,11,Checkout,4,4
STORE-004,2026-07-12,11,Sales Floor,6,6
STORE-004,2026-07-12,11,Stockroom,2,2
STORE-004,2026-07-12,12,Checkout,7,7
STORE-004,2026-07-12,12,Sales Floor,6,6
STORE-004,2026-07-12,12,Stockroom,2,2
STORE-004,2026-07-12,13,Checkout,7,7
STORE-004,2026-07-12,13,Sales Floor,6,7
STORE-004,2026-07-12,13,Stockroom,2,2
STORE-004,2026-07-12,14,Checkout,7,8
STORE-004,2026-07-12,14,Sales Floor,6,7
STORE-004,2026-07-12,14,Stockroom,2,1
STORE-004,2026-07-12,15,Checkout,4,4
STORE-004,2026-07-12,15,Sales Floor,6,5
STORE-004,2026-07-12,15,Stockroom,2,2
STORE-004,2026-07-12,16,Checkout,4,4
STORE-004,2026-07-12,16,Sales Floor,6,7
STORE-004,2026-07-12,16,Stockroom,2,2
STORE-004,2026-07-12,17,Checkout,7,7
STORE-004,2026-07-12,17,Sales Floor,6,6
STORE-004,2026-07-12,17,Stockroom,2,2
STORE-004,2026-07-12,18,Checkout,7,8
STORE-004,2026-07-12,18,Sales Floor,6,6
STORE-004,2026-07-12,18,Stockroom,2,1
STORE-004,2026-07-12,19,Checkout,7,6
STORE-004,2026-07-12,19,Sales Floor,4,4
STORE-004,2026-07-12,19,Stockroom,2,2
STORE-004,2026-07-12,20,Checkout,4,4
STORE-004,2026-07-12,20,Sales Floor,4,4
STORE-004,2026-07-12,20,Stockroom,2,2
STORE-004,2026-07-12,21,Checkout,4,5
STORE-004,2026-07-12,21,Sales Floor,4,4
STORE-004,2026-07-12,21,Stockroom,2,2
STORE-001,2026-07-13,8,Checkout,3,2
STORE-001,2026-07-13,8,Sales Floor,3,4
STORE-001,2026-07-13,8,Stockroom,4,4
STORE-001,2026-07-13,9,Checkout,3,4
STORE-001,2026-07-13,9,Sales Floor,3,2
STORE-001,2026-07-13,9,Stockroom,4,4
STORE-001,2026-07-13,10,Checkout,3,3
STORE-001,2026-07-13,10,Sales Floor,3,3
STORE-001,2026-07-13,10,Stockroom,4,4
STORE-001,2026-07-13,11,Checkout,3,3
STORE-001,2026-07-13,11,Sales Floor,5,6
STORE-001,2026-07-13,11,Stockroom,2,2
STORE-001,2026-07-13,12,Checkout,6,6
STORE-001,2026-07-13,12,Sales Floor,5,5
STORE-001,2026-07-13,12,Stockroom,2,2
STORE-001,2026-07-13,13,Checkout,6,7
STORE-001,2026-07-13,13,Sales Floor,5,5
STORE-001,2026-07-13,13,Stockroom,2,2
STORE-001,2026-07-13,14,Checkout,6,6
STORE-001,2026-07-13,14,Sales Floor,5,5
STORE-001,2026-07-13,14,Stockroom,2,3
STORE-001,2026-07-13,15,Checkout,3,3
STORE-001,2026-07-13,15,Sales Floor,5,5
STORE-001,2026-07-13,15,Stockroom,2,3
STORE-001,2026-07-13,16,Checkout,3,3
STORE-001,2026-07-13,16,Sales Floor,5,5
STORE-001,2026-07-13,16,Stockroom,2,2
STORE-001,2026-07-13,17,Checkout,6,5
STORE-001,2026-07-13,17,Sales Floor,5,5
STORE-001,2026-07-13,17,Stockroom,2,3
STORE-001,2026-07-13,18,Checkout,6,5
STORE-001,2026-07-13,18,Sales Floor,5,5
STORE-001,2026-07-13,18,Stockroom,2,3
STORE-001,2026-07-13,19,Checkout,6,6
STORE-001,2026-07-13,19,Sales Floor,3,3
STORE-001,2026-07-13,19,Stockroom,2,2
STORE-001,2026-07-13,20,Checkout,3,3
STORE-001,2026-07-13,20,Sales Floor,3,2
STORE-001,2026-07-13,20,Stockroom,2,3
STORE-001,2026-07-13,21,Checkout,3,2
STORE-001,2026-07-13,21,Sales Floor,3,2
STORE-001,2026-07-13,21,Stockroom,2,3
STORE-002,2026-07-13,8,Checkout,3,3
STORE-002,2026-07-13,8,Sales Floor,3,3
STORE-002,2026-07-13,8,Stockroom,4,4
STORE-002,2026-07-13,9,Checkout,3,3
STORE-002,2026-07-13,9,Sales Floor,3,4
STORE-002,2026-07-13,9,Stockroom,4,4
STORE-002,2026-07-13,10,Checkout,3,3
STORE-002,2026-07-13,10,Sales Floor,3,4
STORE-002,2026-07-13,10,Stockroom,4,4
STORE-002,2026-07-13,11,Checkout,3,3
STORE-002,2026-07-13,11,Sales Floor,5,5
STORE-002,2026-07-13,11,Stockroom,2,3
STORE-002,2026-07-13,12,Checkout,6,7
STORE-002,2026-07-13,12,Sales Floor,5,5
STORE-002,2026-07-13,12,Stockroom,2,2
STORE-002,2026-07-13,13,Checkout,6,5
STORE-002,2026-07-13,13,Sales Floor,5,5
STORE-002,2026-07-13,13,Stockroom,2,2
STORE-002,2026-07-13,14,Checkout,6,5
STORE-002,2026-07-13,14,Sales Floor,5,4
STORE-002,2026-07-13,14,Stockroom,2,2
STORE-002,2026-07-13,15,Checkout,3,4
STORE-002,2026-07-13,15,Sales Floor,5,5
STORE-002,2026-07-13,15,Stockroom,2,2
STORE-002,2026-07-13,16,Checkout,3,3
STORE-002,2026-07-13,16,Sales Floor,5,5
STORE-002,2026-07-13,16,Stockroom,2,2
STORE-002,2026-07-13,17,Checkout,6,6
STORE-002,2026-07-13,17,Sales Floor,5,5
STORE-002,2026-07-13,17,Stockroom,2,2
STORE-002,2026-07-13,18,Checkout,6,6
STORE-002,2026-07-13,18,Sales Floor,5,4
STORE-002,2026-07-13,18,Stockroom,2,3
STORE-002,2026-07-13,19,Checkout,6,6
STORE-002,2026-07-13,19,Sales Floor,3,3
STORE-002,2026-07-13,19,Stockroom,2,1
STORE-002,2026-07-13,20,Checkout,3,3
STORE-002,2026-07-13,20,Sales Floor,3,3
STORE-002,2026-07-13,20,Stockroom,2,1
STORE-002,2026-07-13,21,Checkout,3,3
STORE-002,2026-07-13,21,Sales Floor,3,3
STORE-002,2026-07-13,21,Stockroom,2,2
STORE-003,2026-07-13,8,Checkout,3,3
STORE-003,2026-07-13,8,Sales Floor,3,3
STORE-003,2026-07-13,8,Stockroom,4,5
STORE-003,2026-07-13,9,Checkout,3,2
STORE-003,2026-07-13,9,Sales Floor,3,4
STORE-003,2026-07-13,9,Stockroom,4,4
STORE-003,2026-07-13,10,Checkout,3,4
STORE-003,2026-07-13,10,Sales Floor,3,3
STORE-003,2026-07-13,10,Stockroom,4,4
STORE-003,2026-07-13,11,Checkout,3,4
STORE-003,2026-07-13,11,Sales Floor,5,5
STORE-003,2026-07-13,11,Stockroom,2,2
STORE-003,2026-07-13,12,Checkout,6,6
STORE-003,2026-07-13,12,Sales Floor,5,6
STORE-003,2026-07-13,12,Stockroom,2,2
STORE-003,2026-07-13,13,Checkout,6,6
STORE-003,2026-07-13,13,Sales Floor,5,5
STORE-003,2026-07-13,13,Stockroom,2,3
STORE-003,2026-07-13,14,Checkout,6,5
STORE-003,2026-07-13,14,Sales Floor,5,4
STORE-003,2026-07-13,14,Stockroom,2,2
STORE-003,2026-07-13,15,Checkout,3,3
STORE-003,2026-07-13,15,Sales Floor,5,5
STORE-003,2026-07-13,15,Stockroom,2,1
STORE-003,2026-07-13,16,Checkout,3,4
STORE-003,2026-07-13,16,Sales Floor,5,5
STORE-003,2026-07-13,16,Stockroom,2,2
STORE-003,2026-07-13,17,Checkout,6,6
STORE-003,2026-07-13,17,Sales Floor,5,4
STORE-003,2026-07-13,17,Stockroom,2,2
STORE-003,2026-07-13,18,Checkout,6,6
STORE-003,2026-07-13,18,Sales Floor,5,5
STORE-003,2026-07-13,18,Stockroom,2,2
STORE-003,2026-07-13,19,Checkout,6,5
STORE-003,2026-07-13,19,Sales Floor,3,3
STORE-003,2026-07-13,19,Stockroom,2,1
STORE-003,2026-07-13,20,Checkout,3,3
STORE-003,2026-07-13,20,Sales Floor,3,3
STORE-003,2026-07-13,20,Stockroom,2,2
STORE-003,2026-07-13,21,Checkout,3,3
STORE-003,2026-07-13,21,Sales Floor,3,4
STORE-003,2026-07-13,21,Stockroom,2,2
STORE-004,2026-07-13,8,Checkout,3,3
STORE-004,2026-07-13,8,Sales Floor,3,3
STORE-004,2026-07-13,8,Stockroom,4,5
STORE-004,2026-07-13,9,Checkout,3,3
STORE-004,2026-07-13,9,Sales Floor,3,4
STORE-004,2026-07-13,9,Stockroom,4,4
STORE-004,2026-07-13,10,Checkout,3,3
STORE-004,2026-07-13,10,Sales Floor,3,4
STORE-004,2026-07-13,10,Stockroom,4,4
STORE-004,2026-07-13,11,Checkout,3,2
STORE-004,2026-07-13,11,Sales Floor,5,5
STORE-004,2026-07-13,11,Stockroom,2,2
STORE-004,2026-07-13,12,Checkout,6,5
STORE-004,2026-07-13,12,Sales Floor,5,6
STORE-004,2026-07-13,12,Stockroom,2,2
STORE-004,2026-07-13,13,Checkout,6,7
STORE-004,2026-07-13,13,Sales Floor,5,5
STORE-004,2026-07-13,13,Stockroom,2,3
STORE-004,2026-07-13,14,Checkout,6,6
STORE-004,2026-07-13,14,Sales Floor,5,6
STORE-004,2026-07-13,14,Stockroom,2,2
STORE-004,2026-07-13,15,Checkout,3,3
STORE-004,2026-07-13,15,Sales Floor,5,5
STORE-004,2026-07-13,15,Stockroom,2,2
STORE-004,2026-07-13,16,Checkout,3,3
STORE-004,2026-07-13,16,Sales Floor,5,5
STORE-004,2026-07-13,16,Stockroom,2,1
STORE-004,2026-07-13,17,Checkout,6,6
STORE-004,2026-07-13,17,Sales Floor,5,4
STORE-004,2026-07-13,17,Stockroom,2,3
STORE-004,2026-07-13,18,Checkout,6,6
STORE-004,2026-07-13,18,Sales Floor,5,5
STORE-004,2026-07-13,18,Stockroom,2,1
STORE-004,2026-07-13,19,Checkout,6,7
STORE-004,2026-07-13,19,Sales Floor,3,3
STORE-004,2026-07-13,19,Stockroom,2,1
STORE-004,2026-07-13,20,Checkout,3,3
STORE-004,2026-07-13,20,Sales Floor,3,4
STORE-004,2026-07-13,20,Stockroom,2,2
STORE-004,2026-07-13,21,Checkout,3,3
STORE-004,2026-07-13,21,Sales Floor,3,4
STORE-004,2026-07-13,21,Stockroom,2,2
STORE-001,2026-07-14,8,Checkout,3,3
STORE-001,2026-07-14,8,Sales Floor,3,3
STORE-001,2026-07-14,8,Stockroom,4,3
STORE-001,2026-07-14,9,Checkout,3,3
STORE-001,2026-07-14,9,Sales Floor,3,4
STORE-001,2026-07-14,9,Stockroom,4,4
STORE-001,2026-07-14,10,Checkout,3,3
STORE-001,2026-07-14,10,Sales Floor,3,3
STORE-001,2026-07-14,10,Stockroom,4,4
STORE-001,2026-07-14,11,Checkout,3,3
STORE-001,2026-07-14,11,Sales Floor,5,5
STORE-001,2026-07-14,11,Stockroom,2,2
STORE-001,2026-07-14,12,Checkout,6,6
STORE-001,2026-07-14,12,Sales Floor,5,5
STORE-001,2026-07-14,12,Stockroom,2,2
STORE-001,2026-07-14,13,Checkout,6,6
STORE-001,2026-07-14,13,Sales Floor,5,5
STORE-001,2026-07-14,13,Stockroom,2,2
STORE-001,2026-07-14,14,Checkout,6,6
STORE-001,2026-07-14,14,Sales Floor,5,4
STORE-001,2026-07-14,14,Stockroom,2,2
STORE-001,2026-07-14,15,Checkout,3,4
STORE-001,2026-07-14,15,Sales Floor,5,5
STORE-001,2026-07-14,15,Stockroom,2,3
STORE-001,2026-07-14,16,Checkout,3,3
STORE-001,2026-07-14,16,Sales Floor,5,4
STORE-001,2026-07-14,16,Stockroom,2,2
STORE-001,2026-07-14,17,Checkout,6,6
STORE-001,2026-07-14,17,Sales Floor,5,4
STORE-001,2026-07-14,17,Stockroom,2,2
STORE-001,2026-07-14,18,Checkout,6,5
STORE-001,2026-07-14,18,Sales Floor,5,5
STORE-001,2026-07-14,18,Stockroom,2,2
STORE-001,2026-07-14,19,Checkout,6,5
STORE-001,2026-07-14,19,Sales Floor,3,2
STORE-001,2026-07-14,19,Stockroom,2,2
STORE-001,2026-07-14,20,Checkout,3,3
STORE-001,2026-07-14,20,Sales Floor,3,3
STORE-001,2026-07-14,20,Stockroom,2,1
STORE-001,2026-07-14,21,Checkout,3,4
STORE-001,2026-07-14,21,Sales Floor,3,3
STORE-001,2026-07-14,21,Stockroom,2,3
STORE-002,2026-07-14,8,Checkout,3,3
STORE-002,2026-07-14,8,Sales Floor,3,2
STORE-002,2026-07-14,8,Stockroom,4,4
STORE-002,2026-07-14,9,Checkout,3,3
STORE-002,2026-07-14,9,Sales Floor,3,4
STORE-002,2026-07-14,9,Stockroom,4,4
STORE-002,2026-07-14,10,Checkout,3,3
STORE-002,2026-07-14,10,Sales Floor,3,3
STORE-002,2026-07-14,10,Stockroom,4,4
STORE-002,2026-07-14,11,Checkout,3,2
STORE-002,2026-07-14,11,Sales Floor,5,5
