store_id,date,department,budgeted_hours,actual_regular_hours,overtime_hours,budgeted_labor_cost,actual_labor_cost
STORE-001,2026-07-13,Stockroom,24.0,23.6,0.0,528.0,519.2
STORE-002,2026-07-13,Checkout,48.0,49.2,0.3,864.0,893.7
STORE-002,2026-07-13,Sales Floor,42.0,40.1,0.0,840.0,802.0
STORE-002,2026-07-13,Stockroom,24.0,25.4,1.0,528.0,591.8
STORE-003,2026-07-13,Checkout,48.0,48.1,0.0,864.0,865.8
STORE-003,2026-07-13,Sales Floor,42.0,40.3,0.0,840.0,806.0
STORE-003,2026-07-13,Stockroom,24.0,23.4,1.9,528.0,577.5
STORE-004,2026-07-13,Checkout,48.0,49.1,0.6,864.0,900.0
STORE-004,2026-07-13,Sales Floor,42.0,42.1,0.0,840.0,842.0
STORE-004,2026-07-13,Stockroom,24.0,22.5,0.0,528.0,495.0
STORE-001,2026-07-14,Checkout,48.0,48.7,1.1,864.0,906.3
STORE-001,2026-07-14,Sales Floor,42.0,38.1,1.6,840.0,810.0
STORE-001,2026-07-14,Stockroom,24.0,23.9,0.4,528.0,539.0
STORE-002,2026-07-14,Checkout,48.0,44.1,0.0,864.0,793.8
STORE-002,2026-07-14,Sales Floor,42.0,42.8,0.0,840.0,856.0
STORE-002,2026-07-14,Stockroom,24.0,25.8,0.6,528.0,587.4
STORE-003,2026-07-14,Checkout,48.0,46.5,0.0,864.0,837.0
STORE-003,2026-07-14,Sales Floor,42.0,40.1,0.0,840.0,802.0
STORE-003,2026-07-14,Stockroom,24.0,22.8,0.7,528.0,524.7
STORE-004,2026-07-14,Checkout,48.0,48.9,0.0,864.0,880.2
STORE-004,2026-07-14,Sales Floor,42.0,38.6,0.0,840.0,772.0
STORE-004,2026-07-14,Stockroom,24.0,24.0,1.4,528.0,574.2
STORE-001,2026-07-15,Checkout,48.0,46.2,0.6,864.0,847.8
STORE-001,2026-07-15,Sales Floor,42.0,41.7,0.0,840.0,834.0
STORE-001,2026-07-15,Stockroom,24.0,20.6,0.0,528.0,453.2
STORE-002,2026-07-15,Checkout,48.0,49.9,0.6,864.0,914.4
STORE-002,2026-07-15,Sales Floor,42.0,43.2,0.0,840.0,864.0
STORE-002,2026-07-15,Stockroom,24.0,24.3,1.6,528.0,587.4
STORE-003,2026-07-15,Checkout,48.0,45.8,0.0,864.0,824.4
STORE-003,2026-07-15,Sales Floor,42.0,42.6,1.6,840.0,900.0
STORE-003,2026-07-15,Stockroom,24.0,24.8,1.2,528.0,585.2
STORE-004,2026-07-15,Checkout,48.0,47.6,0.6,864.0,873.0
STORE-004,2026-07-15,Sales Floor,42.0,42.1,0.9,840.0,869.0
STORE-004,2026-07-15,Stockroom,24.0,23.9,2.0,528.0,591.8
STORE-001,2026-07-16,Checkout,48.0,45.6,0.0,864.0,820.8
STORE-001,2026-07-16,Sales Floor,42.0,40.3,0.0,840.0,806.0
STORE-001,2026-07-16,Stockroom,24.0,24.2,0.3,528.0,542.3
STORE-002,2026-07-16,Checkout,48.0,45.1,0.9,864.0,836.1
STORE-002,2026-07-16,Sales Floor,42.0,39.3,0.1,840.0,789.0
STORE-002,2026-07-16,Stockroom,24.0,24.7,1.6,528.0,596.2
STORE-003,2026-07-16,Checkout,48.0,48.0,0.0,864.0,864.0
STORE-003,2026-07-16,Sales Floor,42.0,43.1,1.4,840.0,904.0
STORE-003,2026-07-16,Stockroom,24.0,25.3,0.0,528.0,556.6
STORE-004,2026-07-16,Checkout,48.0,44.6,0.0,864.0,802.8
STORE-004,2026-07-16,Sales Floor,42.0,39.6,1.2,840.0,828.0
STORE-004,2026-07-16,Stockroom,24.0,24.6,0.0,528.0,541.2
STORE-001,2026-07-17,Checkout,48.0,48.1,0.0,864.0,865.8
STORE-001,2026-07-17,Sales Floor,42.0,38.5,0.0,840.0,770.0
STORE-001,2026-07-17,Stockroom,24.0,24.5,0.0,528.0,539.0
STORE-002,2026-07-17,Checkout,48.0,48.7,0.0,864.0,876.6
STORE-002,2026-07-17,Sales Floor,42.0,39.6,0.0,840.0,792.0
STORE-002,2026-07-17,Stockroom,24.0,25.1,0.0,528.0,552.2
STORE-003,2026-07-17,Checkout,48.0,49.2,0.3,864.0,893.7
STORE-003,2026-07-17,Sales Floor,42.0,43.7,0.0,840.0,874.0
STORE-003,2026-07-17,Stockroom,24.0,25.3,0.0,528.0,556.6
STORE-004,2026-07-17,Checkout,48.0,49.2,0.0,864.0,885.6
STORE-004,2026-07-17,Sales Floor,42.0,39.8,0.0,840.0,796.0
STORE-004,2026-07-17,Stockroom,24.0,25.1,0.0,528.0,552.2
STORE-001,2026-07-18,Checkout,56.0,53.2,1.0,1008.0,984.6
STORE-001,2026-07-18,Sales Floor,50.0,49.4,3.5,1000.0,1093.0
STORE-001,2026-07-18,Stockroom,28.0,26.7,0.6,616.0,607.2
STORE-002,2026-07-18,Checkout,56.0,56.3,2.9,1008.0,1091.7
STORE-002,2026-07-18,Sales Floor,50.0,48.9,2.2,1000.0,1044.0
STORE-002,2026-07-18,Stockroom,28.0,25.1,2.2,616.0,624.8
STORE-003,2026-07-18,Checkout,56.0,52.0,0.4,1008.0,946.8
STORE-003,2026-07-18,Sales Floor,50.0,50.6,0.0,1000.0,1012.0
STORE-003,2026-07-18,Stockroom,28.0,28.6,1.4,616.0,675.4
STORE-004,2026-07-18,Checkout,56.0,56.6,0.0,1008.0,1018.8
STORE-004,2026-07-18,Sales Floor,50.0,49.7,2.2,1000.0,1060.0
STORE-004,2026-07-18,Stockroom,28.0,26.4,3.8,616.0,706.2
STORE-001,2026-07-19,Checkout,56.0,54.3,0.0,1008.0,977.4
STORE-001,2026-07-19,Sales Floor,50.0,47.2,0.9,1000.0,971.0
STORE-001,2026-07-19,Stockroom,28.0,24.1,0.6,616.0,550.0
STORE-002,2026-07-19,Checkout,56.0,57.0,0.0,1008.0,1026.0
STORE-002,2026-07-19,Sales Floor,50.0,50.1,2.1,1000.0,1065.0
STORE-002,2026-07-19,Stockroom,28.0,25.5,2.5,616.0,643.5
STORE-003,2026-07-19,Checkout,56.0,54.1,0.0,1008.0,973.8
STORE-003,2026-07-19,Sales Floor,50.0,48.3,1.9,1000.0,1023.0
STORE-003,2026-07-19,Stockroom,28.0,25.0,3.1,616.0,652.3
STORE-004,2026-07-19,Checkout,56.0,53.8,0.5,1008.0,981.9
STORE-004,2026-07-19,Sales Floor,50.0,50.4,2.0,1000.0,1068.0
STORE-004,2026-07-19,Stockroom,28.0,26.0,3.4,616.0,684.2
STORE-001,2026-07-20,Checkout,48.0,50.0,0.0,864.0,900.0
STORE-001,2026-07-20,Sales Floor,42.0,43.4,0.0,840.0,868.0
STORE-001,2026-07-20,Stockroom,24.0,21.1,1.8,528.0,523.6
STORE-002,2026-07-20,Checkout,48.0,49.5,0.0,864.0,891.0
STORE-002,2026-07-20,Sales Floor,42.0,39.4,0.9,840.0,815.0
STORE-002,2026-07-20,Stockroom,24.0,20.8,0.9,528.0,487.3
STORE-003,2026-07-20,Checkout,48.0,47.5,0.0,864.0,855.0
STORE-003,2026-07-20,Sales Floor,42.0,40.2,0.6,840.0,822.0
STORE-003,2026-07-20,Stockroom,24.0,20.2,1.5,528.0,493.9
STORE-004,2026-07-20,Checkout,48.0,45.5,0.1,864.0,821.7
STORE-004,2026-07-20,Sales Floor,42.0,38.3,2.0,840.0,826.0
STORE-004,2026-07-20,Stockroom,24.0,24.0,0.6,528.0,547.8
STORE-001,2026-07-21,Checkout,48.0,44.1,0.8,864.0,815.4
STORE-001,2026-07-21,Sales Floor,42.0,40.5,0.0,840.0,810.0
STORE-001,2026-07-21,Stockroom,24.0,23.3,0.0,528.0,512.6
STORE-002,2026-07-21,Checkout,48.0,44.9,0.8,864.0,829.8
STORE-002,2026-07-21,Sales Floor,42.0,41.8,0.0,840.0,836.0
STORE-002,2026-07-21,Stockroom,24.0,24.0,0.6,528.0,547.8
STORE-003,2026-07-21,Checkout,48.0,45.6,0.4,864.0,831.6
STORE-003,2026-07-21,Sales Floor,42.0,38.8,1.3,840.0,815.0
STORE-003,2026-07-21,Stockroom,24.0,20.6,0.9,528.0,482.9
STORE-004,2026-07-21,Checkout,48.0,44.7,0.0,864.0,804.6
STORE-004,2026-07-21,Sales Floor,42.0,38.6,0.0,840.0,772.0
STORE-004,2026-07-21,Stockroom,24.0,21.2,0.0,528.0,466.4
STORE-001,2026-07-22,Checkout,48.0,47.1,0.0,864.0,847.8
STORE-001,2026-07-22,Sales Floor,42.0,42.2,0.0,840.0,844.0
STORE-001,2026-07-22,Stockroom,24.0,20.2,0.0,528.0,444.4
STORE-002,2026-07-22,Checkout,48.0,45.2,1.7,864.0,859.5
STORE-002,2026-07-22,Sales Floor,42.0,40.0,0.0,840.0,800.0
STORE-002,2026-07-22,Stockroom,24.0,24.0,1.6,528.0,580.8
STORE-003,2026-07-22,Checkout,48.0,49.0,0.7,864.0,900.9
STORE-003,2026-07-22,Sales Floor,42.0,38.9,0.0,840.0,778.0
STORE-003,2026-07-22,Stockroom,24.0,23.1,0.9,528.0,537.9
STORE-004,2026-07-22,Checkout,48.0,44.6,0.0,864.0,802.8
STORE-004,2026-07-22,Sales Floor,42.0,39.4,2.0,840.0,848.0
STORE-004,2026-07-22,Stockroom,24.0,21.8,0.0,528.0,479.6
STORE-001,2026-07-23,Checkout,48.0,44.6,0.0,864.0,802.8
STORE-001,2026-07-23,Sales Floor,42.0,38.2,0.0,840.0,764.0
STORE-001,2026-07-23,Stockroom,24.0,24.8,0.0,528.0,545.6
STORE-002,2026-07-23,Checkout,48.0,48.4,0.0,864.0,871.2
STORE-002,2026-07-23,Sales Floor,42.0,42.5,0.0,840.0,850.0
STORE-002,2026-07-23,Stockroom,24.0,25.1,0.7,528.0,575.3
STORE-003,2026-07-23,Checkout,48.0,45.0,0.0,864.0,810.0
STORE-003,2026-07-23,Sales Floor,42.0,40.6,0.5,840.0,827.0
STORE-003,2026-07-23,Stockroom,24.0,25.3,0.0,528.0,556.6
STORE-004,2026-07-23,Checkout,48.0,48.9,0.0,864.0,880.2
STORE-004,2026-07-23,Sales Floor,42.0,40.4,1.8,840.0,862.0
STORE-004,2026-07-23,Stockroom,24.0,21.6,0.0,528.0,475.2
STORE-001,2026-07-24,Checkout,48.0,49.1,1.2,864.0,916.2
STORE-001,2026-07-24,Sales Floor,42.0,41.9,1.2,840.0,874.0
STORE-001,2026-07-24,Stockroom,24.0,20.7,0.8,528.0,481.8
STORE-002,2026-07-24,Checkout,48.0,44.4,1.8,864.0,847.8
STORE-002,2026-07-24,Sales Floor,42.0,39.0,0.0,840.0,780.0
STORE-002,2026-07-24,Stockroom,24.0,23.5,1.2,528.0,556.6
STORE-003,2026-07-24,Checkout,48.0,48.1,0.0,864.0,865.8
STORE-003,2026-07-24,Sales Floor,42.0,40.3,0.0,840.0,806.0
STORE-003,2026-07-24,Stockroom,24.0,20.2,0.7,528.0,467.5
STORE-004,2026-07-24,Checkout,48.0,49.0,1.9,864.0,933.3
STORE-004,2026-07-24,Sales Floor,42.0,38.8,1.7,840.0,827.0
STORE-004,2026-07-24,Stockroom,24.0,20.7,0.0,528.0,455.4
